@params:Amount|Frequency|Invert|LFO Type|Offset|Phase|Shape|Spin|Stereo Mode|Sync Rate|Waveform|Width (Random)
1to4 Note Contenders:0.637795090675354|0.3996685743331909|0.0|1.0|0.0|180.0|1.0|0.0|0.0|9.0|0.0|0.5
90 Degrees:0.3937006890773773|0.20472446084022522|0.0|1.0|0.0|90.0|1.0|0.0|0.0|9.0|1.0|0.5
Around The Head:0.8031494617462158|0.3996685743331909|0.0|0.0|0.0|267.8739929199219|0.4330707788467407|0.0|0.0|4.0|1.0|0.5
Chopper:0.732283353805542|0.6988811492919922|1.0|1.0|0.0|180.0|1.0|0.0|0.0|4.0|2.0|0.5
Copycat:0.7795274257659912|0.3996685743331909|0.0|1.0|184.25192260742188|283.4645080566406|0.7559056282043457|0.0|0.0|13.0|0.0|0.5
Dizziness:0.6600000262260437|0.6988811492919922|0.0|1.0|0.0|70.86614227294922|1.0|0.0|0.0|8.0|0.0|0.5
Pan-Asia:0.2834645211696625|0.4330710768699646|0.0|1.0|0.0|178.58265686035156|1.0|0.0|0.0|4.0|2.0|0.5
Sharing:0.5669289827346802|0.5196849703788757|0.0|1.0|255.11802673339844|96.37794494628906|0.35433095693588257|0.0|0.0|4.0|0.0|0.5
Shredder:1.0|1.0|0.0|0.0|0.0|180.0|0.7952755689620972|0.5|1.0|4.0|3.0|0.0
Slow N Steady:0.4960630536079407|0.3996685743331909|0.0|1.0|0.0|284.8818664550781|0.0|0.0|0.0|12.0|0.0|0.5
Subtle Stereo:0.33000001311302185|0.22047244012355804|0.0|0.0|0.0|180.0|0.0|0.0|0.0|4.0|0.0|0.5
Suitcase Auto Pan:0.6428571343421936|0.3888888955116272|0.0|0.0|0.0|180.0|0.60317462682724|0.0|0.0|4.0|0.0|0.5
Tremolo:0.6666666865348816|0.39966854453086853|0.0|1.0|0.0|0.0|0.0|0.0|0.0|6.0|0.0|0.5
