@params:Block Triplets|Chance|Decay|Filter Freq|Filter On|Filter Width|Gate|Grid|Interval|Mix Type|Offset|Pitch|Pitch Decay|Repeat|Variation|Variation Type|Volume
Airpusher:1.0|0.7007874250411987|0.0|0.7386364340782166|1.0|4.484375|8.0|7.0|2.0|1.0|0.0|12.0|0.6377952694892883|0.0|3.0|2.0|0.8500000238418579
Brain Dance:0.0|1.0|0.25|0.6818181872367859|1.0|6.34375|4.0|3.0|3.0|0.0|4.0|4.0|1.0|0.0|8.0|0.0|0.6220472455024719
Chopping Block:1.0|1.0|0.7086614370346069|0.7159090638160706|1.0|6.875|7.0|7.0|3.0|1.0|0.0|12.0|0.6377952694892883|0.0|7.0|0.0|0.8500000238418579
Deconstruct:0.0|0.16535432636737823|0.0|0.6818181872367859|1.0|6.078125|14.0|3.0|1.0|1.0|0.0|12.0|0.0|0.0|3.0|4.0|0.9999999403953552
Fill In The Gaps:1.0|1.0|0.7086614370346069|0.5568181872367859|1.0|2.625|18.0|8.0|3.0|0.0|0.0|0.0|0.913385808467865|0.0|4.0|1.0|0.8500000238418579
Insect:0.0|1.0|0.0|0.6931818127632141|1.0|4.75|17.0|0.0|3.0|0.0|0.0|0.0|0.07874015718698502|0.0|0.0|4.0|0.9249424338340759
Microfiliz:1.0|0.6456692814826965|0.35433071851730347|0.5089499354362488|1.0|4.0|2.0|7.0|4.0|0.0|2.0|0.0|0.04724409431219101|0.0|8.0|4.0|0.8897637724876404
Repeight:0.0|0.4094488322734833|0.0|0.7386364340782166|1.0|4.75|3.0|9.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.834645688533783
Robo Voice:0.0|1.0|0.0|0.6931818127632141|1.0|6.078125|0.0|0.0|0.0|1.0|0.0|5.0|0.0|0.0|0.0|4.0|0.9370078444480896
Semisubtle:0.0|1.0|0.25|0.5089499354362488|1.0|4.0|6.0|9.0|5.0|0.0|8.0|0.0|0.18897637724876404|0.0|3.0|4.0|0.913385808467865
Slap Back:1.0|1.0|0.7086614370346069|0.7727272510528564|1.0|4.21875|9.0|5.0|2.0|0.0|0.0|5.0|0.27559053897857666|0.0|3.0|1.0|0.8500000238418579
Squishy:1.0|1.0|0.4645669162273407|0.6477272510528564|1.0|2.625|2.0|0.0|1.0|0.0|4.0|0.0|1.0|0.0|2.0|1.0|0.953125
Vocal Fun:1.0|0.8031495809555054|0.35433071851730347|0.5089499354362488|1.0|4.0|3.0|5.0|4.0|1.0|2.0|0.0|0.031496062874794006|0.0|9.0|4.0|0.96875
