@params:Amount|Dry/Wet|FB Inv|Feedback|Gain|HPF Enabled|HPF Freq|Mode|Offset|Rate|Shape|Warmth|Width
Chorus Bass:0.7460317611694336|0.8015872836112976|0.0|0.0|0.7933878302574158|1.0|0.0|0.0|0.0|0.3730158805847168|0.0|0.5079365372657776|0.5
Chorus Classic:0.5873016119003296|1.0|0.0|0.0|0.7071067690849304|1.0|0.0|0.0|0.0|0.3650793731212616|0.0|0.0|0.5
Chorus Subtle Funk:0.4047619104385376|0.7460317611694336|0.0|0.230158731341362|0.7936508059501648|1.0|0.0|0.0|0.0|0.3492063581943512|0.0|0.261904776096344|0.4296875
Ensemble Deep:0.8095238208770752|0.7460317611694336|0.0|0.2525252401828766|0.7936508059501648|1.0|0.0|1.0|0.0|0.3492063581943512|0.0|0.5079365372657776|0.5
Ensemble Feedback:0.5714285969734192|0.5|0.0|0.8095238208770752|0.7071067690849304|1.0|0.0|1.0|0.0|0.341269850730896|0.0|0.3253968358039856|0.5
Vibrato Flutter:0.1269841343164444|1.0|0.0|0.0|0.7933878302574158|1.0|0.0|2.0|0.0|0.8031495809555054|0.0|0.5079365372657776|0.5
Vibrato Kaleidoscope:1.0|0.5|0.0|0.2460317462682724|0.7071067690849304|1.0|0.0|2.0|1.0|0.5079365372657776|1.0|0.2539682686328888|0.5
Vibrato Spacial:0.1031746044754982|0.7936508059501648|1.0|0.2777777910232544|0.7071067690849304|1.0|0.296875|2.0|1.0|0.6666666865348816|0.1484375|0.32626986503601074|0.4296875
Vibrato Subtle:0.1190476194024086|0.7460317611694336|0.0|0.2460317462682724|0.7071067690849304|0.0|0.2841779887676239|2.0|0.0|0.5079365372657776|0.0|0.2539682686328888|0.5
Vibrato Wobble:0.25196850299835205|1.0|0.0|0.0|0.7933878302574158|1.0|0.0|2.0|0.0|0.4015747904777527|0.0|0.5079365372657776|0.5
Warm Chrous:0.9047619104385376|1.0|1.0|0.4682539701461792|0.7933878302574158|1.0|0.3671875298023224|0.0|0.375|0.24603179097175598|0.0|0.6746031641960144|0.4296875
Warm Ensemble:0.9682539701461792|0.9920634627342224|1.0|0.261904776096344|0.7490065097808838|1.0|0.203125|1.0|0.375|0.2698413133621216|0.0|0.6507936716079712|0.4296875
