@params:LFO 1 Amt A|LFO 1 Amt B|LFO 1 Depth|LFO 1 Depth < Vel|LFO 1 Dest A|LFO 1 Dest B|LFO 1 Offset|LFO 1 On/Off|LFO 1 Rate|LFO 1 Rate < Key|LFO 1 Retrigger|LFO 1 Shape|LFO 1 Sync|LFO 1 Sync Rate|LFO 2 Amt A|LFO 2 Amt B|LFO 2 Depth|LFO 2 Depth < Vel|LFO 2 Dest A|LFO 2 Dest B|LFO 2 Offset|LFO 2 On/Off|LFO 2 Rate|LFO 2 Rate < Key|LFO 2 Retrigger|LFO 2 Shape|LFO 2 Sync|LFO 2 Sync Rate|MW Amt A|MW Amt B|MW Dest A|MW Dest B|Mallet Noise Amount|Mallet Noise Amount < Key|Mallet Noise Amount < Vel|Mallet Noise Color|Mallet On/Off|Mallet Stiffness|Mallet Stiffness < Key|Mallet Stiffness < Vel|Mallet Volume|Mallet Volume < Key|Mallet Volume < Vel|Noise Attack|Noise Decay|Noise Filter Freq|Noise Filter Q|Noise Filter Type|Noise Freq < Env|Noise Freq < Key|Noise Freq < Vel|Noise On/Off|Noise Release|Noise Sustain|Noise Volume|Noise Volume < Key|Noise Volume < Vel|Note PB Range|PB Amt A|PB Dest A|PB Range|Press Amt A|Press Amt B|Press Dest A|Press Dest B|Res 1 Bleed|Res 1 Brightness|Res 1 Decay|Res 1 Decay < Key|Res 1 Decay < Vel|Res 1 Fine Tune|Res 1 Hit|Res 1 Hit < Random|Res 1 Inharmonics|Res 1 Inharmonics < Vel|Res 1 Listening L|Res 1 Listening R|Res 1 Material|Res 1 Material < Key|Res 1 Material < Vel|Res 1 Off Decay|Res 1 On/Off|Res 1 Opening|Res 1 Opening < Vel|Res 1 Pan|Res 1 Pan < Key|Res 1 Pitch Env.|Res 1 Pitch Env. < Vel|Res 1 Pitch Env. Time|Res 1 Quality|Res 1 Radius|Res 1 Radius < Key|Res 1 Radius < Vel|Res 1 Ratio|Res 1 Tune|Res 1 Tune < Key|Res 1 Type|Res 1 Volume|Res 2 Bleed|Res 2 Brightness|Res 2 Decay|Res 2 Decay < Key|Res 2 Decay < Vel|Res 2 Fine Tune|Res 2 Hit|Res 2 Hit < Random|Res 2 Inharmonics|Res 2 Inharmonics < Vel|Res 2 Listening L|Res 2 Listening R|Res 2 Material|Res 2 Material < Key|Res 2 Material < Vel|Res 2 Off Decay|Res 2 On/Off|Res 2 Opening|Res 2 Opening < Vel|Res 2 Pan|Res 2 Pan < Key|Res 2 Pitch Env.|Res 2 Pitch Env. < Vel|Res 2 Pitch Env. Time|Res 2 Quality|Res 2 Radius|Res 2 Radius < Key|Res 2 Radius < Vel|Res 2 Ratio|Res 2 Tune|Res 2 Tune < Key|Res 2 Type|Res 2 Volume|Retrigger|Slide Amt A|Slide Amt B|Slide Dest A|Slide Dest B|Structure|Voices|Volume
Acoustic String:2.5|2.5|0.1015625|0.0|13.0|0.0|0.0|1.0|0.625|0.0|1.0|0.0|0.0|4.0|4.296875|2.5|0.828125|0.0|6.0|0.0|0.0|0.0|0.765625|0.0|1.0|0.0|0.0|4.0|2.5|2.5|0.0|0.0|0.3700000047683716|0.0|3.90625|0.5476190447807312|1.0|0.2618427574634552|0.0|3.59375|0.5317460298538208|0.0|2.734375|0.0625|0.3203125|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.4841269850730896|0.0|0.0|48.0|2.5|0.0|5.0|2.5|2.5|0.0|0.0|0.3492063581943512|-0.3492063283920288|0.7890625|-0.375|2.109375|0.0|0.8015872836112976|0.1015625|0.0|0.0|0.3253968358039856|0.8492063283920288|-0.4375|-0.53125|0.0|0.0|1.0|0.0|0.0|0.14285719394683838|0.0|0.0|0.0|0.007936508394777775|3.0|0.5|0.9375|0.0|0.4920634925365448|0.0|1.0|2.0|0.658730149269104|0.1666666716337204|0.5079365372657776|0.8828125|0.0|0.0|26.0|0.7578125|0.2890625|0.0|0.0|0.3650793731212616|0.9920634627342224|0.171875|0.0|0.0|0.0|1.0|0.7421875|1.40625|-0.3333333730697632|0.0|0.0|0.0|0.0|1.0|1.0|0.0|-1.71875|0.3203125|0.0|1.0|5.0|0.6428571343421936|1.0|2.5|2.5|0.0|0.0|1.0|3.0|0.2777777910232544
Afterbreath:4.375|2.5|0.6875|0.0|3.0|0.0|0.0|1.0|0.5|0.0|1.0|0.0|0.0|4.0|2.5|2.5|0.5|0.0|0.0|0.0|0.0|0.0|0.5|0.0|1.0|0.0|0.0|4.0|2.5|2.5|0.0|0.0|0.5|0.0|0.546875|0.5|1.0|0.5|0.0|1.09375|0.5|0.0|3.4375|0.0|0.25806450843811035|0.5|0.0|0.0|0.0|0.0|2.75|1.0|0.20000000298023224|0.261904776096344|0.5078125|0.0|0.0|48.0|2.5|0.0|2.0|2.5|2.5|0.0|0.0|0.0|0.0|0.5|0.0|0.0|0.0|0.5|0.0|0.0|0.0|0.10000000149011612|0.8999999761581421|0.0|0.0|0.078125|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.5|2.0|0.5|0.0|0.0|0.0|36.0|1.0|3.0|0.5|0.0|0.0|0.5|0.0|0.0|0.0|0.5|0.0|0.0|0.0|0.10000000149011612|0.8999999761581421|0.0|0.0|-0.078125|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.5|2.0|0.5|0.0|0.0|0.0|0.0|1.0|1.0|0.5|0.0|2.5|2.5|0.0|0.0|0.0|2.0|0.3650793731212616
Air Of Dread:2.5|2.5|0.5|0.0|0.0|0.0|0.0|0.0|0.5|0.0|1.0|0.0|0.0|4.0|2.5|2.5|0.5|0.0|0.0|0.0|0.0|0.0|0.5|0.0|1.0|0.0|0.0|4.0|2.5|2.5|0.0|0.0|0.5|0.0|0.0|0.5|0.0|0.5|0.0|0.0|0.5|0.0|0.0|0.9140625|0.6129032373428345|0.682539701461792|0.0|0.0|0.0|0.0|1.875|1.0|0.734375|1.0|0.7301587462425232|0.0|2.265625|48.0|2.5|0.0|2.0|2.5|2.5|0.0|0.0|0.0|0.0|0.7263157963752747|0.0|0.0|0.0|0.5|0.0|0.0|0.0|0.10000000149011612|0.8999999761581421|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.5|2.0|0.484375|0.0|0.0|0.0|-12.0|1.0|6.0|0.6269841194152832|0.0|0.40625|0.5|0.0|0.0|0.0|0.5|0.0|0.0|0.0|0.10000000149011612|0.8999999761581421|0.0|0.0|0.9375|0.0|1.0|1.0|0.0|0.0|0.0|0.015873074531555176|0.0|0.8730158805847168|1.0|0.5|0.0|0.0|0.0|-23.0|1.0|0.0|0.5|0.0|2.5|2.5|0.0|0.0|1.0|6.0|0.5302552580833435
Ancient Far East:2.5|2.5|0.5|0.0|0.0|0.0|0.0|0.0|0.5|0.0|1.0|0.0|0.0|4.0|2.5|2.5|0.5|0.0|0.0|0.0|0.0|0.0|0.5|0.0|1.0|0.0|0.0|4.0|2.5|2.5|0.0|0.0|0.5|0.0|0.0|0.5|1.0|0.5|0.0|0.0|0.5|0.0|0.0|0.0|0.3709677457809448|0.6323529481887817|0.7631579041481018|0.0|0.0|0.0|1.875|1.0|0.20000000298023224|0.0|0.5|0.0|2.34375|48.0|2.5|0.0|2.0|2.5|2.5|0.0|0.0|0.0|0.0|0.671875|0.0|0.0|0.0|0.5|0.0|0.0|0.0|0.10000000149011612|0.8999999761581421|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.5|2.0|0.8297872543334961|0.0|0.0|0.0|0.0|1.0|5.0|0.5|0.0|0.0|0.5625|0.0|0.0|0.0|0.5|0.0|0.0|0.0|0.10000000149011612|0.8999999761581421|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|1.40625|0.5396825671195984|3.0|0.5|0.0|0.0|0.0|0.0|1.0|2.0|0.5|0.0|2.5|2.5|0.0|0.0|1.0|2.0|0.39825403690338135
Balafon Bright:2.890625|2.5|1.0|0.0|13.0|0.0|19.6875|0.0|0.78125|0.0|1.0|0.0|0.0|4.0|1.09375|2.5|1.0|0.0|6.0|0.0|0.0|0.0|0.78125|0.0|1.0|0.0|0.0|4.0|5.0|2.5|0.0|0.0|0.6190476417541504|-1.21875|2.34375|0.2460317462682724|1.0|0.390625|0.0|2.265625|0.5555555820465088|0.0|3.984375|0.0|0.28125|0.75|0.734375|2.0|1.484375|0.0|0.0|1.0|0.203125|0.0|0.60317462682724|0.0|1.5625|48.0|2.5|0.0|5.0|2.5|2.5|0.0|0.0|1.0|0.9047619104385376|0.390625|1.78125|0.0|0.0|0.0|1.0|0.0|2.96875|0.25|0.0|-1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.796875|0.0|0.0|1.0|0.0|1.0|0.0|0.7301587462425232|0.0|-0.079365074634552|0.484375|0.0|0.0|0.0|0.0476190485060215|0.6171875|0.0|3.125|0.6984127163887024|0.4365079402923584|-1.0|0.0|0.0|0.703125|1.0|1.0|0.0|0.0|0.0|-0.796875|0.0|0.0|1.0|0.90625|0.0|0.0|0.0|0.0|1.0|1.0|0.420634925365448|1.0|2.5|2.5|0.0|0.0|1.0|3.0|0.22603173553943634
Balafon Brushed:2.5|2.5|0.2109375|0.0|6.0|0.0|22.5|1.0|0.578125|0.0|1.0|0.0|0.0|4.0|2.5|2.5|0.9609375|0.0|11.0|0.0|0.0|0.0|0.4765625|0.0|1.0|2.0|0.0|4.0|2.5|2.5|0.0|0.0|0.359375|0.0|5.0|0.328125|1.0|0.5703125|0.0|3.828125|0.6984127163887024|0.0|3.75|0.04838709533214569|0.234375|0.6428571343421936|0.0|0.0|1.5079364776611328|0.0|0.0|1.0|0.5|0.109375|0.682539701461792|0.0|0.0|48.0|2.5|0.0|5.0|2.5|2.5|0.0|0.0|0.6796875|0.2380952388048172|0.546875|-0.4375|0.859375|0.0|0.3125|0.859375|-0.0476190485060215|0.0|0.796875|0.2936508059501648|-0.8693749904632568|0.0|0.0|0.234375|1.0|0.0|0.0|-0.095238097012043|0.0|0.0|0.0|0.2421875|3.0|0.375|0.0|0.0|0.4920634925365448|-12.0|1.0|2.0|0.6904761791229248|0.5|-1.0|0.25|0.0|2.109375|0.0|0.328125|0.9296875|0.4444444477558136|0.0|0.4682539701461792|0.9140625|0.234375|0.0|-5.0|0.0|1.0|1.0|0.0|-0.20000000298023224|0.0|0.0|0.0|0.0|3.0|0.5|0.0|0.0|0.3203125|24.0|1.0|2.0|0.3571428656578064|1.0|2.5|2.5|0.0|0.0|1.0|4.0|0.22360679507255554
Banu Musa:2.5|2.5|0.5|0.0|0.0|0.0|0.0|0.0|0.5|0.0|1.0|0.0|0.0|4.0|2.5|2.5|0.5|0.0|0.0|0.0|0.0|0.0|0.5|0.0|1.0|0.0|0.0|4.0|2.5|2.5|0.0|0.0|0.5|0.0|2.578125|0.5|1.0|0.5|0.0|1.796875|0.3571428656578064|0.0|4.21875|0.0|0.20000000298023224|0.5|0.0|0.0|0.0|0.0|0.0|0.0|0.20000000298023224|0.0|0.5|0.0|0.0|48.0|2.5|0.0|2.0|2.5|2.5|0.0|0.0|0.0|0.0|0.6328125|0.0|0.0|0.0|0.5|0.0|0.20634925365447998|0.0|0.10000000149011612|0.8999999761581421|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.5|2.0|0.5|0.0|0.0|0.0|12.0|1.0|4.0|0.5|0.0|0.0|0.609375|0.0|0.0|0.0|0.5|0.0|0.0|0.0|0.10000000149011612|0.8999999761581421|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.5|2.0|0.5|0.0|0.0|0.0|0.0|1.0|0.0|0.5|0.0|2.5|2.5|0.0|0.0|1.0|2.0|0.5034921169281006
Bass Grit:-5.0|2.5|1.0|0.0|3.0|0.0|180.0|0.0|0.75|0.0|1.0|3.0|1.0|15.0|5.0|2.5|1.0|0.0|14.0|0.0|0.0|0.0|0.7109375|0.0|0.0|2.0|1.0|9.0|2.5|2.5|0.0|0.0|0.0|0.0|0.0|0.6190476417541504|1.0|0.5149606466293335|0.0|0.0|1.0|0.0|0.0|0.0|0.4032258093357086|0.10294117778539658|0.05263157933950424|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.9047619104385376|0.0|0.0|48.0|2.5|0.0|5.0|2.5|2.5|0.0|0.0|0.0|0.0|0.38947367668151855|0.0|0.0|15.0|0.5|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.2539682686328888|2.0|0.3404255211353302|0.0|0.0|0.0|0.0|1.0|5.0|0.5|0.0|0.0|0.38947367668151855|0.0|0.0|0.0|0.5|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.7460317611694336|2.0|0.3404255211353302|0.0|0.0|0.0|12.0|1.0012500286102295|5.0|0.4523809552192688|0.0|2.5|2.5|0.0|0.0|1.0|0.0|0.4920634925365448
Bell Airy:2.5|2.5|0.5|0.0|0.0|0.0|0.0|0.0|0.5|0.0|1.0|0.0|0.0|4.0|2.5|2.5|0.5|0.0|0.0|0.0|0.0|0.0|0.5|0.0|1.0|0.0|0.0|4.0|5.0|-3.203125|1.0|2.0|0.5079365372657776|0.0|0.625|0.3888888955116272|1.0|0.5634920597076416|0.78125|2.1875|0.4921875|0.0|1.796875|0.6771453619003296|0.421875|0.2418154776096344|0.21052631735801697|0.0|0.0|0.0|2.25|1.0|0.6333705186843872|0.296875|0.460317462682724|0.0|2.34375|48.0|0.78125|0.0|5.0|2.5|2.5|3.0|0.0|0.0|0.6591081619262695|0.2890625|-0.53125|1.015625|0.0|0.421875|0.3984375|0.015873074531555176|0.0|0.4047619104385376|0.8095238208770752|-0.09375|0.21875|0.0|0.0|1.0|0.6746031641960144|1.015625|0.03999999910593033|0.0|0.0634920597076416|0.546875|0.4523809552192688|1.0|0.4765625|0.0|0.0|0.0|0.0|1.0|0.0|0.5|0.3968254029750824|0.14285719394683838|0.3515625|0.0|1.09375|0.0|0.5|0.421875|0.23809528350830078|2.734375|0.4047619104385376|0.8999999761581421|-0.125|0.0|1.09375|0.0|1.0|0.6746031641960144|1.015625|0.03999999910593033|0.0|0.0|0.0|0.5|1.0|0.4765625|0.0|0.0|0.0|0.0|1.0|1.0|0.2857142984867096|1.0|2.5|2.5|0.0|0.0|0.0|2.0|0.8888888955116272
Bell Plate Long:2.8125|2.5|0.5|0.0|6.0|0.0|0.0|1.0|0.5078125|0.0|1.0|0.0|0.0|4.0|1.953125|2.5|0.9609375|0.0|11.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|4.0|2.5|2.5|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.3095238208770752|0.0|4.53125|0.6904761791229248|0.0|2.734375|0.04838709533214569|0.234375|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.0|0.4841269850730896|0.0|0.0|48.0|2.5|0.0|5.0|2.5|2.5|0.0|0.0|0.4761904776096344|1.0|0.6171875|-0.375|0.859375|0.0|0.671875|0.1171875|0.0|0.0|0.6507936716079712|0.8571428656578064|-0.84375|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.375|0.0|0.0|0.3984375|0.0|1.0|4.0|0.3650793731212616|0.7857142686843872|-0.5079365372657776|0.6947368383407593|0.0|0.0|0.0|0.0|0.0|0.841269850730896|4.296875|0.5158730149269104|0.579365074634552|0.625|0.0|0.0|0.0|0.0|1.0|0.0|0.2857142984867096|0.0|0.0|0.0|0.0|1.0|0.5|0.0|0.0|0.3203125|0.0|1.0|2.0|0.3492063581943512|0.0|2.5|2.5|0.0|0.0|1.0|2.0|0.47259053587913513
