@params:Attack|Auto Release On/Off|Dry/Wet|Env Mode|Expansion Ratio|Knee|LookAhead|Makeup|Model|Output Gain|Ratio|Release|S/C EQ Freq|S/C EQ Gain|S/C EQ On|S/C EQ Q|S/C EQ Type|S/C Gain|S/C Listen|S/C Mix|S/C On|Threshold
Acoustic Kick Compressor:0.6954242587089539|0.0|1.0|1.0|1.149999976158142|0.421875|1.0|0.0|0.0|3.0|0.75|0.2929726541042328|0.5283381938934326|0.0|0.0|0.40856707096099854|4.0|0.4000000059604645|0.0|1.0|0.0|0.4765625
Acoustic:0.6507936716079712|0.0|1.0|1.0|1.149999976158142|7.734375|1.0|1.0|0.0|0.0|0.5546875|0.376376211643219|0.3095238208770752|6.666666507720947|1.0|0.5158730149269104|0.0|0.4000000059604645|0.0|1.0|0.0|0.41138172149658203
Basic Peack Compressor:0.460206001996994|0.0|1.0|1.0|1.149999976158142|6.0|0.0|1.0|0.0|0.0|0.5|0.19996516406536102|0.3052678406238556|0.0|0.0|0.40856707096099854|5.0|0.4000000059604645|0.0|1.0|0.0|0.8500000238418579
Brick Wall:0.039682537317276|0.0|1.0|1.0|1.149999976158142|0.984375|1.0|1.0|0.0|-0.5|1.0|0.2713049054145813|0.5283381342887878|0.0|0.0|0.40856707096099854|4.0|0.4000000059604645|0.0|1.0|0.0|0.6075644493103027
Brute Compression:0.0|0.0|1.0|1.0|1.149999976158142|0.0|1.0|1.0|0.0|0.0|0.920634925365448|0.0873015895485878|0.5283381938934326|0.0|0.0|0.40856707096099854|4.0|0.4000000059604645|0.0|1.0|0.0|0.22094446420669556
Classical Compression:0.2698412835597992|0.0|1.0|1.0|1.149999976158142|6.046875|1.0|1.0|0.0|0.0|0.1328125149011612|0.2713049054145813|0.5283381938934326|0.0|0.0|0.40856707096099854|4.0|0.4000000059604645|0.0|1.0|0.0|0.6075644493103027
De-esser:0.0714285746216774|0.0|1.0|1.0|1.149999976158142|6.046875|1.0|0.0|0.0|0.0|0.6666666865348816|0.2713049054145813|0.8525585532188416|0.0|1.0|0.710434079170227|1.0|0.4000000059604645|0.0|1.0|0.0|0.46875
Flattenator:0.0|0.0|1.0|1.0|1.149999976158142|0.0|2.0|1.0|0.0|12.0|1.0|0.27518099546432495|0.841269850730896|-15.0|0.0|0.1428571492433548|3.0|0.4000000059604645|0.0|1.0|0.0|0.011130491271615028
Generic Compressor:0.6000000238418579|0.0|1.0|1.0|1.149999976158142|0.703125|1.0|1.0|0.0|0.0|0.5|0.2713049054145813|0.5283381938934326|0.0|0.0|0.40856707096099854|4.0|0.4000000059604645|0.0|1.0|0.0|0.3366614580154419
Gentle Squeeze:0.4000000059604645|0.0|1.0|1.0|1.149999976158142|12.234375|1.0|1.0|1.0|0.0|0.3333333432674408|0.2713049054145813|0.5283381342887878|0.0|0.0|0.40856707096099854|4.0|0.4000000059604645|0.0|1.0|0.0|0.3366614580154419
Gentle-Kneeless:0.1428571492433548|0.0|1.0|1.0|1.149999976158142|18.0|1.0|1.0|1.0|0.0|0.1328125149011612|0.2713049054145813|0.5283381938934326|0.0|0.0|0.40856707096099854|4.0|0.4000000059604645|0.0|1.0|0.0|0.42777130007743835
Kick Reducer:0.6000000238418579|0.0|1.0|1.0|1.149999976158142|0.0|2.0|0.0|0.0|0.0|1.0|0.2713049054145813|0.21622195839881897|0.0|1.0|0.6904761791229248|3.0|0.4000000059604645|0.0|1.0|0.0|0.40366971492767334
Loud-Kneeless:0.1428571492433548|0.0|1.0|1.0|1.149999976158142|17.578125|1.0|1.0|0.0|0.0|0.5390625|0.2713049054145813|0.5283381938934326|0.0|0.0|0.40856707096099854|4.0|0.4000000059604645|0.0|1.0|0.0|0.42777130007743835
Mildly Aggresive:0.682539701461792|0.0|1.0|1.0|1.149999976158142|4.0|1.0|1.0|0.0|-8.256880760192871|0.75|0.2713049054145813|0.4126984179019928|5.0|1.0|0.40856707096099854|1.0|0.4000000059604645|0.0|1.0|0.0|0.3182305693626404
Mix Gel:0.6190476417541504|0.0|1.0|1.0|1.149999976158142|12.0|1.0|0.0|1.0|4.0|0.16666670143604279|0.6750966310501099|0.30158731341362|4.0|1.0|0.40856707096099854|0.0|0.4000000059604645|0.0|1.0|0.0|0.3272058367729187
Precise:0.3888888955116272|0.0|1.0|1.0|1.149999976158142|6.0|0.0|1.0|0.0|0.0|0.3515624701976776|0.2713049054145813|0.3730158805847168|0.0|0.0|0.2936508059501648|3.0|0.4000000059604645|0.0|1.0|0.0|0.2513733506202698
Soft Snare Compressor:0.4954242408275604|0.0|0.32421875|1.0|1.149999976158142|0.0|1.0|0.0|0.0|3.799999237060547|0.7890625|0.32134804129600525|0.5283381938934326|0.0|0.0|0.40856707096099854|4.0|0.4000000059604645|0.0|1.0|0.0|0.375
Sustained Lead Vocal:0.1825396865606308|0.0|1.0|1.0|1.149999976158142|6.046875|1.0|1.0|0.0|-8.256880760192871|0.817460298538208|0.2063492089509964|0.2380952388048172|5.0|1.0|0.40856707096099854|5.0|0.4000000059604645|0.0|1.0|0.0|0.4128440320491791
