@params:Delay Mode|Dly < Mod|Dry/Wet|Feedback|Filter < Mod|Filter Freq|Filter On|Filter Width|Freeze|L 16th|L Offset|L Sync|L Time|Link|Mod Freq|Ping Pong|R 16th|R Offset|R Sync|R Time
4th Bandpass:0.0|0.0|0.33000001311302185|0.6105263233184814|0.0|0.6015625596046448|1.0|0.2734375|0.0|3.0|0.5|1.0|0.0|1.0|0.6388094425201416|0.0|0.0|0.5|1.0|0.0
4th Distant:0.0|0.0|0.2539682686328888|0.6746031641960144|0.0|0.21118012070655823|1.0|0.2236841917037964|0.0|3.0|0.5|1.0|0.0|1.0|0.6388094425201416|0.0|0.0|0.5|1.0|0.0
8th Groove:0.0|0.0|0.33000001311302185|0.3368420898914337|0.0|0.5204446315765381|1.0|0.5199999809265137|0.0|1.0|0.004504491109400988|1.0|0.10268767178058624|1.0|0.7063491940498352|1.0|3.0|0.004504491109400988|1.0|0.10839252918958664
16th Dub:0.0|0.0|0.4000000059604645|0.7684210538864136|0.0|0.5909101366996765|1.0|0.44117647409439087|0.0|0.0|0.004504491109400988|1.0|0.0|1.0|0.7063491940498352|1.0|3.0|0.004504491109400988|1.0|0.10839252918958664
16th Ping Pong:0.0|0.0|0.33000001311302185|0.6105263233184814|0.0|0.508949875831604|1.0|0.4882352948188782|0.0|0.0|0.5|1.0|0.0|1.0|0.7063491940498352|1.0|3.0|0.5|1.0|0.10839252918958664
Chopped Delay:2.0|0.65625|0.5|0.4523809850215912|0.4453125|0.7044025659561157|1.0|0.1818181723356247|0.0|6.0|0.5|1.0|0.04761885851621628|0.0|0.6953125596046448|0.0|2.0|0.5|1.0|0.0
Disharmonics:0.0|0.0|0.4000000059604645|1.0|0.0|0.508949875831604|0.0|0.8823529481887817|0.0|2.0|0.5|0.0|0.3350270390510559|0.0|0.6388094425201416|0.0|3.0|0.5|0.0|0.33752983808517456
Dotted Eight Note:1.0|0.0|0.6600000262260437|0.694736897945404|0.0|0.508949875831604|0.0|0.8823529481887817|0.0|2.0|0.49684685468673706|1.0|0.5953847169876099|0.0|0.6388094425201416|0.0|2.0|0.5031531453132629|1.0|0.5953847169876099
Dotted Quarter Note:1.0|0.0|0.6600000262260437|0.694736897945404|0.0|0.508949875831604|0.0|0.8823529481887817|0.0|5.0|0.49684685468673706|1.0|0.5953847169876099|0.0|0.6388094425201416|0.0|5.0|0.5031531453132629|1.0|0.5953847169876099
Eighth Note:1.0|0.0|0.6600000262260437|0.694736897945404|0.0|0.508949875831604|0.0|0.8823529481887817|0.0|1.0|0.49684685468673706|1.0|0.5953847169876099|0.0|0.6388094425201416|0.0|1.0|0.5031531453132629|1.0|0.5953847169876099
Fake Phaser:0.0|0.0|0.4523809552192688|0.8095238208770752|0.84375|0.6562499403953552|1.0|0.3636363744735718|0.0|3.0|0.5|0.0|0.2300058752298355|0.0|0.6953125596046448|1.0|3.0|0.5|0.0|0.17250441014766693
Flutter:0.0|0.8799999952316284|0.7539682388305664|0.0|0.4453125|0.508949875831604|1.0|1.0|0.0|1.0|0.5|0.0|0.15525396168231964|1.0|0.7500000596046448|0.0|3.0|0.5|1.0|0.5953847169876099
Full Range Spatial:1.0|0.0|0.8100000023841858|0.75789475440979|0.0|0.4885781705379486|1.0|1.0|0.0|2.0|0.5|0.0|0.23902112245559692|1.0|0.6388094425201416|1.0|3.0|0.5|1.0|0.5953847169876099
Glitch Delay:1.0|0.6603010892868042|0.5|0.5263158082962036|0.1875|0.6875000596046448|1.0|0.22077922523021698|0.0|5.0|0.5|1.0|0.5953847169876099|0.0|0.546875|0.0|4.0|0.5|1.0|0.5953847169876099
Groove:0.0|0.0|0.8999999761581421|0.7263157963752747|0.0|0.508949875831604|0.0|0.8823529481887817|0.0|4.0|0.5|1.0|0.5953847169876099|0.0|0.6388094425201416|0.0|2.0|0.5|1.0|0.5953847169876099
Harmonics:1.0|0.0|0.4000000059604645|1.0|0.0|0.508949875831604|0.0|0.8823529481887817|0.0|2.0|0.5|0.0|0.28253474831581116|0.0|0.6388094425201416|0.0|3.0|0.5|0.0|0.30863767862319946
Hi Buzz:1.0|0.0|0.8700000047683716|1.0|0.0|0.9655928015708923|1.0|0.36352941393852234|0.0|2.0|0.5|0.0|0.24789771437644958|1.0|0.6388094425201416|1.0|3.0|0.5|0.0|0.5953847169876099
High:1.0|0.0|0.75|0.821052610874176|0.0|0.7754446864128113|1.0|0.3235294222831726|0.0|2.0|0.5|1.0|0.5953847169876099|1.0|0.6388094425201416|1.0|3.0|0.5|1.0|0.5953847169876099
Longest Ping Pong:1.0|0.0|1.0|1.0|0.0|0.7044224739074707|1.0|0.5752940773963928|0.0|7.0|0.5|1.0|0.5953847169876099|1.0|0.6388094425201416|1.0|3.0|0.5|1.0|0.5953847169876099
Pan Left:1.0|0.0|1.0|0.0|0.0|0.508949875831604|0.0|0.8823529481887817|0.0|2.0|0.5|0.0|0.0|0.0|0.6388094425201416|0.0|3.0|0.5|0.0|0.18206369876861572
Pan Right:1.0|0.0|1.0|0.0|0.0|0.508949875831604|0.0|0.8823529481887817|0.0|2.0|0.5|0.0|0.18206369876861572|0.0|0.6388094425201416|0.0|3.0|0.5|0.0|0.0
Ping:1.0|0.0|0.699999988079071|0.9473683834075928|0.0|0.5844983458518982|1.0|0.3529411852359772|0.0|1.0|0.5|1.0|0.5953847169876099|1.0|0.6388094425201416|1.0|3.0|0.5|1.0|0.5953847169876099
Pong:1.0|0.0|0.6700000166893005|0.9473683834075928|0.0|0.4718870222568512|1.0|0.4117647111415863|0.0|2.0|0.5|1.0|0.5953847169876099|1.0|0.6388094425201416|1.0|3.0|0.5|1.0|0.5953847169876099
Quarter Note:1.0|0.0|0.6600000262260437|0.694736897945404|0.0|0.508949875831604|0.0|0.8823529481887817|0.0|3.0|0.49684685468673706|1.0|0.5953847169876099|0.0|0.6388094425201416|0.0|3.0|0.5031531453132629|1.0|0.5953847169876099
Robot:1.0|0.0|1.0|1.0|0.0|0.48312869668006897|1.0|0.23529411852359772|0.0|2.0|0.5|0.0|0.27117154002189636|1.0|0.6388094425201416|1.0|3.0|0.5|1.0|0.5953847169876099
Simple Chorus:0.0|0.5799999833106995|0.4682539701461792|0.0|0.0|0.6687499284744263|1.0|0.9610389471054077|0.0|2.0|0.5|0.0|0.2941046357154846|0.0|0.5|1.0|3.0|0.5|0.0|0.35650908946990967
Simple Flanger:0.0|0.8500000238418579|0.4365079402923584|0.8253968358039856|0.0|0.7453416585922241|1.0|0.8947367668151855|0.0|2.0|0.5|0.0|0.078125|1.0|0.3984375|1.0|3.0|0.5|0.0|0.1974429190158844
Sixteenth Note:1.0|0.0|0.6600000262260437|0.694736897945404|0.0|0.508949875831604|0.0|0.8823529481887817|0.0|0.0|0.49684685468673706|1.0|0.5953847169876099|0.0|0.6388094425201416|0.0|0.0|0.5031531453132629|1.0|0.5953847169876099
