@params:Channel Mode|Clip Dry|Dly < Mod|Dry Wet|Duck On|Duck Release|Duck Thr|Env Mix|Feedback|Feedback Inv|Filter On|Flt < Mod|Gate On|Gate Release|Gate Thr|HP Freq|HP Res|Input Gain|L 16th|L Division|L Offset|L Sync|L Sync Mode|L Time|LP Freq|LP Res|Link|Mod 4x|Mod Freq|Mod Phase|Mod Rate|Mod Sync|Mod Wave|Noise Amt|Noise Mrph|Noise On|Output Gain|R 16th|R Division|R Offset|R Sync|R Sync Mode|R Time|Repitch|Repitch Smoothing Time|Reverb Decay|Reverb Level|Reverb Loc|Stereo Width|Wobble Amt|Wobble Mrph|Wobble On
8DotBall:0.0|0.0|0.0|0.5078125|0.0|0.05468836426734924|1.0|0.0|0.4523809850215912|0.0|1.0|0.0|0.0|0.602835476398468|1.0|5.263217417450505e-07|0.0|0.5|1.0|-3.0|0.5|1.0|2.0|0.4453125|1.0|0.2857142984867096|1.0|0.0|0.703133761882782|0.5|9.0|1.0|0.0|0.0|0.0|0.0|0.5|4.0|-5.0|0.5703125|0.0|3.0|0.1984127163887024|1.0|0.7559748291969299|0.296875|0.0|0.0|0.5|0.0|0.0|0.0
A Bit Tipsy:0.0|0.0|0.03125|0.4047619104385376|0.0|0.372768372297287|1.0|0.7265625|0.4047619104385376|0.0|1.0|0.7578125|0.0|0.6028345823287964|1.0|0.21959644556045532|0.5531914830207825|0.5|3.0|-3.0|0.5|1.0|2.0|0.5653063654899597|0.8901971578598022|0.8085106611251831|0.0|0.0|0.6388094425201416|1.0|3.0|0.0|5.0|0.1484375|0.7890625|1.0|0.5|3.0|-3.0|0.5|1.0|2.0|0.5653063654899597|1.0|0.7559748291969299|0.7109375|0.6507936716079712|1.0|0.7301587462425232|0.4296875|0.984375|1.0
Analog Collapse:0.0|1.0|0.0625|0.5|1.0|0.05468744412064552|0.703125|0.1953125|0.2142857164144516|0.0|1.0|0.0|0.0|0.602835476398468|1.0|0.32940810918807983|0.25531914830207825|0.6904761791229248|3.0|-2.0|0.5|1.0|2.0|0.1746031790971756|0.7451055645942688|0.25531914830207825|1.0|0.0|0.6388094425201416|0.5|12.0|1.0|0.0|0.3203125|0.2265625|1.0|0.420634925365448|3.0|-3.0|0.515625|1.0|2.0|0.5653063654899597|1.0|0.7559748291969299|0.5|0.0714285746216774|1.0|0.6746031641960144|0.1953125|0.0|1.0
Analog Triplet Dub:0.0|1.0|0.0|0.5|1.0|0.37277066707611084|0.4609375|0.0|0.4761904776096344|1.0|1.0|0.0|0.0|0.602835476398468|1.0|0.12156520038843155|0.7659574747085571|0.6269841194152832|3.0|-2.0|0.5|1.0|1.0|0.4126984179019928|0.6196048855781555|0.40425533056259155|1.0|0.0|0.6388094425201416|0.5|12.0|1.0|0.0|0.7265625|0.3984375|1.0|0.5|3.0|-3.0|0.5|1.0|2.0|0.40579333901405334|1.0|0.7559748291969299|0.5|0.0|1.0|0.453125|0.0|0.0|0.0
Back Door:0.0|1.0|0.234375|0.4841269850730896|1.0|0.05468836426734924|0.40625|0.0|0.4523809850215912|1.0|1.0|0.0|0.0|0.602835476398468|1.0|0.17646844685077667|0.4761904776096344|0.6000000238418579|1.0|-3.0|0.8593750596046448|1.0|0.0|0.4453125|0.7149328589439392|0.4126984179019928|1.0|0.0|0.7031302452087402|0.734375|9.0|0.0|0.0|0.0|0.0|0.0|0.5|4.0|-5.0|0.140625|0.0|3.0|0.1984127163887024|1.0|0.7559748291969299|0.0|0.0|0.0|0.6269841194152832|0.0|0.0|0.0
Broken Pipe:1.0|1.0|0.20000000298023224|0.6984127163887024|1.0|0.12500257790088654|0.5390625|0.453125|0.5|0.0|1.0|0.0|1.0|0.3203103244304657|0.8671875|0.29411840438842773|0.46808508038520813|0.7142857313156128|3.0|-3.0|0.5|0.0|2.0|0.1666666865348816|0.7568672299385071|0.40425533056259155|1.0|0.0|0.6388094425201416|0.0|0.0|1.0|3.0|1.0|0.0|0.0|0.5|3.0|-3.0|0.59375|1.0|2.0|0.5653063654899597|1.0|0.7559748291969299|0.140625|0.2222222238779068|2.0|0.4920634925365448|0.0|0.0|0.0
Climbing Flange:2.0|1.0|1.0|0.800000011920929|1.0|0.37277066707611084|0.59375|0.0|0.341269850730896|0.0|1.0|0.0|0.0|0.602835476398468|1.0|0.36470702290534973|0.9574468731880188|0.7142857313156128|3.0|-5.0|0.5|0.0|2.0|0.1349206417798996|0.8392175436019897|0.25531914830207825|0.0|0.0|0.6388094425201416|0.0|0.0|1.0|2.0|0.6000000238418579|0.0|1.0|0.4206959307193756|3.0|-3.0|0.5|0.0|2.0|0.1984127163887024|1.0|0.7559748291969299|0.15625|0.3968254029750824|2.0|0.5|0.0|0.0|0.0
Clipped Slap Analog:0.0|1.0|0.0|0.5396825671195984|1.0|0.37277066707611084|0.609375|0.0|0.4682539701461792|0.0|1.0|0.0|0.0|0.602835476398468|1.0|0.09411833435297012|0.7659574747085571|0.7539682388305664|3.0|-3.0|0.5|0.0|2.0|0.3492063581943512|0.729409396648407|0.4893617033958435|1.0|0.0|0.6388094425201416|0.5|12.0|1.0|0.0|0.515625|0.8984375|1.0|0.5|3.0|-3.0|0.5|1.0|2.0|0.40579333901405334|1.0|0.7559748291969299|0.5|0.0|1.0|0.5|0.0|0.0|0.0
Dark Fade Analog:0.0|1.0|0.0|0.5|0.0|0.37277066707611084|1.0|0.0|0.4682539701461792|0.0|1.0|0.0|0.0|0.602835476398468|1.0|0.19215762615203857|0.5957446694374084|0.6499999761581421|3.0|-3.0|0.5|1.0|2.0|0.40579333901405334|0.7098045945167542|0.0|1.0|0.0|0.6388094425201416|0.5|12.0|1.0|0.0|0.2578125|0.6640625|1.0|0.4720304608345032|3.0|-3.0|0.5|1.0|2.0|0.40579333901405334|1.0|0.7559748291969299|0.5|0.0|1.0|0.5|0.0|0.0|0.0
Dark Pillow Tap:2.0|0.0|0.015625|0.60317462682724|1.0|0.37277066707611084|0.5|0.0|0.0|0.0|1.0|0.0|0.0|0.602835476398468|1.0|0.4352957308292389|0.42553195357322693|0.5873016119003296|3.0|-4.0|0.5|1.0|1.0|0.5653063654899597|0.6392175555229187|0.7446808218955994|0.0|0.0|0.6388094425201416|0.5|12.0|1.0|0.0|0.0|0.0|0.0|0.5|3.0|-4.0|0.6015625|1.0|2.0|0.5653063654899597|1.0|0.7559748291969299|0.3203125|0.2460317462682724|1.0|0.7222222089767456|0.1953125|0.484375|1.0
