@params:1 Filter On A|1 Filter On B|1 Filter Type A|1 Filter Type B|1 Frequency A|1 Frequency B|1 Gain A|1 Gain B|1 Resonance A|1 Resonance B|2 Filter On A|2 Filter On B|2 Filter Type A|2 Filter Type B|2 Frequency A|2 Frequency B|2 Gain A|2 Gain B|2 Resonance A|2 Resonance B|3 Filter On A|3 Filter On B|3 Filter Type A|3 Filter Type B|3 Frequency A|3 Frequency B|3 Gain A|3 Gain B|3 Resonance A|3 Resonance B|4 Filter On A|4 Filter On B|4 Filter Type A|4 Filter Type B|4 Frequency A|4 Frequency B|4 Gain A|4 Gain B|4 Resonance A|4 Resonance B|5 Filter On A|5 Filter On B|5 Filter Type A|5 Filter Type B|5 Frequency A|5 Frequency B|5 Gain A|5 Gain B|5 Resonance A|5 Resonance B|6 Filter On A|6 Filter On B|6 Filter Type A|6 Filter Type B|6 Frequency A|6 Frequency B|6 Gain A|6 Gain B|6 Resonance A|6 Resonance B|7 Filter On A|7 Filter On B|7 Filter Type A|7 Filter Type B|7 Frequency A|7 Frequency B|7 Gain A|7 Gain B|7 Resonance A|7 Resonance B|8 Filter On A|8 Filter On B|8 Filter Type A|8 Filter Type B|8 Frequency A|8 Frequency B|8 Gain A|8 Gain B|8 Resonance A|8 Resonance B|Adaptive Q|Output Gain|Scale
Opened:1.0|0.0|0.0|0.0|0.0|0.0|-0.5905511975288391|0.0|0.380952388048172|0.0|1.0|0.0|7.0|0.0|1.0|0.0|-0.8267716765403748|0.0|0.3650793731212616|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-0.09448818862438202|0.9921259880065918
Narrow 1:1.0|0.0|0.0|0.0|0.190476194024086|0.0|-0.5905511975288391|0.0|0.380952388048172|0.0|1.0|0.0|7.0|0.0|0.8730158805847168|0.0|-0.8267716765403748|0.0|0.3650793731212616|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-0.09448818862438202|0.9921259880065918
Narrow 2:1.0|0.0|0.0|0.0|0.31301939487457275|0.0|-0.5905511975288391|0.0|0.3801652789115906|0.0|1.0|0.0|7.0|0.0|0.7950138449668884|0.0|-0.8267716765403748|0.0|0.3636363744735718|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-0.09448818862438202|0.9921259880065918
Narrow 3:1.0|0.0|0.0|0.0|0.42382270097732544|0.0|-0.5905511975288391|0.0|0.3719008266925812|0.0|1.0|0.0|7.0|0.0|0.6897506713867188|0.0|-0.8267716765403748|0.0|0.3636363744735718|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-0.09448818862438202|0.9921259880065918
Only Lo:1.0|0.0|0.0|0.0|0.04986149072647095|0.0|-0.5905511975288391|0.0|0.3719008266925812|0.0|1.0|0.0|7.0|0.0|0.371191143989563|0.0|-0.8267716765403748|0.0|0.3636363744735718|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-0.09448818862438202|0.9921259880065918
Only Hi:1.0|0.0|0.0|0.0|0.678670346736908|0.0|-0.5905511975288391|0.0|0.3801652789115906|0.0|1.0|0.0|7.0|0.0|1.0|0.0|-0.8267716765403748|0.0|0.3305785059928894|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-0.09448818862438202|0.9921259880065918
Lo Mid:1.0|0.0|0.0|0.0|0.013850417919456959|0.0|-0.5905511975288391|0.0|0.3719008266925812|0.0|1.0|0.0|7.0|0.0|0.6011080145835876|0.0|-0.8267716765403748|0.0|0.3719008266925812|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-0.09448818862438202|0.9921259880065918
Mid Hi:1.0|0.0|0.0|0.0|0.3545706272125244|0.0|-0.5905511975288391|0.0|0.3801652789115906|0.0|1.0|0.0|7.0|0.0|1.0|0.0|-0.8267716765403748|0.0|0.3388429880142212|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-0.09448818862438202|0.9921259880065918
Mid Res:1.0|0.0|0.0|0.0|0.30470913648605347|0.0|-0.5905511975288391|0.0|0.7355371713638306|0.0|1.0|0.0|7.0|0.0|0.6952908635139465|0.0|-0.8267716765403748|0.0|0.7438016533851624|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-0.09448818862438202|0.9921259880065918
Lo Res:1.0|0.0|0.0|0.0|0.024930743500590324|0.0|-0.5905511975288391|0.0|0.8429751992225647|0.0|1.0|0.0|7.0|0.0|0.30470913648605347|0.0|-0.8267716765403748|0.0|0.8264462947845459|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-0.09448818862438202|0.9921259880065918
