@params:1 Beat Delay|1 Beat Swing|1 Delay Mode|1 Feedback|1 Filter Freq|1 Filter On|1 Filter Width|1 Input On|1 Pan|1 Time Delay|1 Volume|2 Beat Delay|2 Beat Swing|2 Delay Mode|2 Feedback|2 Filter Freq|2 Filter On|2 Filter Width|2 Input On|2 Pan|2 Time Delay|2 Volume|3 Beat Delay|3 Beat Swing|3 Delay Mode|3 Feedback|3 Filter Freq|3 Filter On|3 Filter Width|3 Input On|3 Pan|3 Time Delay|3 Volume|Dry
Ambidel:0.0|0.01040625013411045|0.0|0.0|0.511363685131073|1.0|2.09375|1.0|-1.0|18.71875|0.8500000238418579|0.0|0.0|0.0|0.4126984179019928|0.1931818574666977|1.0|3.421875|1.0|0.0|64.984375|0.6428571343421936|0.0|-0.01040625013411045|0.0|0.0|0.6022727489471436|1.0|2.359375|1.0|1.0|31.515625|0.8500000238418579|0.9523809552192688
Complex 5:4.0|-0.01040625013411045|1.0|0.0|0.7272728085517883|1.0|3.15625|1.0|-1.0|18.71875|0.8500000238418579|4.0|0.0|1.0|0.8333333134651184|0.8181818127632141|1.0|4.21875|1.0|0.0|64.984375|0.8571428656578064|4.0|-0.01040625013411045|1.0|0.0|0.6022727489471436|1.0|4.75|1.0|1.0|31.515625|0.8500000238418579|0.8492063283920288
Dezent:0.0|0.01040625013411045|0.0|0.6666666865348816|0.8750000596046448|1.0|2.359375|1.0|-0.523809552192688|14.78125|0.9999999403953552|0.0|0.0|0.0|0.6904761791229248|0.511363685131073|1.0|2.09375|1.0|0.0|32.5|0.5158730149269104|0.0|-0.01040625013411045|0.0|0.6666666865348816|0.9090909957885742|1.0|3.15625|1.0|0.5079365372657776|23.640625|0.9920634627342224|0.7222222089767456
Go Mid:1.0|0.0|1.0|0.5317460298538208|0.9550563097000122|1.0|4.75|1.0|-0.39682537317276|10.0|0.9999999403953552|2.0|0.0|1.0|0.9047619104385376|0.5955055952072144|1.0|3.25|1.0|-0.1269841194152832|10.0|0.9999999403953552|4.0|0.0|1.0|0.261904776096344|0.7640449404716492|1.0|3.25|1.0|0.7460317611694336|10.0|0.9999999403953552|0.5338296890258789
Loopo:7.0|0.0|1.0|0.9365079402923584|0.7303370833396912|1.0|5.0|1.0|0.4603174924850464|10.0|0.9999999403953552|6.0|0.3330000042915344|1.0|0.9047619104385376|0.5505617260932922|1.0|4.5|1.0|-0.0952380895614624|10.0|0.9999999403953552|7.0|-0.005203127861022949|1.0|0.9444444179534912|0.6292135715484619|1.0|6.0|1.0|-0.4285714030265808|10.0|0.9999999403953552|0.5338296890258789
Moving 3-5-6:2.0|0.005203125067055225|1.0|0.5079365372657776|0.47727274894714355|0.0|4.21875|1.0|-1.0|10.0|0.8500000238418579|4.0|0.0|1.0|0.579365074634552|0.5681818127632141|0.0|3.15625|1.0|0.0|10.0|0.8500000238418579|5.0|-0.005203125067055225|1.0|0.5|0.6477272510528564|0.0|3.953125|1.0|1.0|10.0|0.8500000238418579|0.658730149269104
Moving 3:2.0|0.005203125067055225|1.0|0.5079365372657776|0.47727274894714355|0.0|4.21875|1.0|-1.0|10.0|0.8500000238418579|2.0|0.0|1.0|0.579365074634552|0.5681818127632141|0.0|3.15625|1.0|0.0|10.0|0.8500000238418579|2.0|-0.005203125067055225|1.0|0.5|0.6477272510528564|0.0|3.953125|1.0|1.0|10.0|0.8500000238418579|0.658730149269104
Repetitor II:0.0|0.0|1.0|0.0|0.7272728085517883|0.0|9.0|1.0|-1.0|18.71875|0.8500000238418579|1.0|0.0|1.0|0.0|0.4090908467769623|0.0|2.890625|1.0|0.0|64.984375|0.8571428656578064|2.0|0.0|1.0|0.0|0.6249999403953552|0.0|3.421875|1.0|1.0|31.515625|0.8500000238418579|0.8492063283920288
Repetitor:1.0|0.0|1.0|0.0|0.7272728085517883|0.0|9.0|1.0|0.4920634925365448|18.71875|0.8500000238418579|0.0|0.0|1.0|0.5873016119003296|0.4090908467769623|0.0|2.890625|1.0|0.0|64.984375|0.6428571343421936|1.0|0.01040625013411045|1.0|0.0|0.6249999403953552|0.0|3.421875|1.0|-0.4285714328289032|31.515625|0.8500000238418579|0.8492063283920288
Sort:2.0|0.0|0.0|0.20999999344348907|0.6516854166984558|1.0|2.5|1.0|-1.0|10.0|0.9500282406806946|0.0|0.0|0.0|0.6507936716079712|0.5056179761886597|1.0|3.25|1.0|0.0|32.5|0.8690603971481323|4.0|0.0|0.0|0.23999999463558197|0.5280898809432983|1.0|3.25|1.0|1.0|10.0|0.9999999403953552|0.4386110007762909
Simple Filter 1:1.0|-0.3330000042915344|1.0|0.0|0.47727274894714355|1.0|6.078125|0.0|-1.0|18.71875|0.8500000238418579|0.0|0.0|1.0|0.682539701461792|0.613636314868927|1.0|5.28125|1.0|0.0|64.984375|0.8571428656578064|1.0|0.3330000042915344|0.0|0.0|0.6590908765792847|1.0|4.484375|0.0|1.0|31.515625|0.8500000238418579|0.8492063283920288
Simple Filter 3:1.0|-0.3330000042915344|1.0|0.0|0.47727274894714355|1.0|6.078125|0.0|-1.0|18.71875|0.8500000238418579|2.0|0.0|1.0|0.682539701461792|0.613636314868927|1.0|5.28125|1.0|0.0|64.984375|0.8571428656578064|1.0|0.3330000042915344|0.0|0.0|0.6590908765792847|1.0|4.484375|0.0|1.0|31.515625|0.8500000238418579|0.8492063283920288
Simple Filter 5:1.0|-0.3330000042915344|1.0|0.0|0.47727274894714355|1.0|6.078125|0.0|-1.0|18.71875|0.8500000238418579|4.0|0.0|1.0|0.8333333134651184|0.8181818127632141|1.0|4.21875|1.0|0.0|64.984375|0.8571428656578064|1.0|0.3330000042915344|0.0|0.0|0.6590908765792847|1.0|4.484375|0.0|1.0|31.515625|0.8500000238418579|0.8492063283920288
Stereoflex:1.0|0.0|0.0|0.0|0.516853928565979|1.0|3.0|1.0|-0.317460298538208|4.9375|0.949999988079071|2.0|0.0|0.0|0.0|0.6966291666030884|1.0|2.5|1.0|-1.0|21.671875|0.949999988079071|4.0|0.0|0.0|0.0|0.6966291666030884|1.0|5.0|1.0|1.0|22.65625|0.949999988079071|0.8769494295120239
