@params:A Amp A Slope|A Amp Attack|A Amp D Slope|A Amp Decay|A Amp Loop Mode|A Amp R Slope|A Amp Release|A Amp Sustain|A Detune|A Filter Drive|A Filter Filter Scale Aware|A Filter Freq|A Filter On|A Filter Q|A Filter Type|A Glide Mode|A Glide Time|A Keytracking|A LFO 1 FX 1 Scale|A LFO 1 FX 1 Type|A LFO 1 FX 2 Ramp|A LFO 1 FX 2 Type|A LFO 1 Fold|A LFO 1 Phase|A LFO 1 Rate|A LFO 1 Retrigger|A LFO 1 S. Rate|A LFO 1 Shape|A LFO 1 Sync|A LFO 1 Type|A LFO 2 Phase Offset|A LFO 2 Rate|A LFO 2 Retrigger|A LFO 2 S. Rate|A LFO 2 Sync|A LFO 2 Waveform|A Mod A Slope|A Mod Attack|A Mod D Slope|A Mod Decay|A Mod Final|A Mod Initial|A Mod Loop Mode|A Mod Peak|A Mod R Slope|A Mod Release|A Mod Sustain|A Octave|A On|A Osc Scale Aware|A Osc Shape|A Osc Tone|A Osc Type|A Pan|A Reset|A Reset To Voice Offset|A Tone Filter|A Transp Scale|A Transpose|A Volume|B Amp A Slope|B Amp Attack|B Amp D Slope|B Amp Decay|B Amp Loop Mode|B Amp R Slope|B Amp Release|B Amp Sustain|B Detune|B Filter Drive|B Filter Filter Scale Aware|B Filter Freq|B Filter On|B Filter Q|B Filter Type|B Glide Mode|B Glide Time|B Keytracking|B LFO 1 FX 1 Scale|B LFO 1 FX 1 Type|B LFO 1 FX 2 Ramp|B LFO 1 FX 2 Type|B LFO 1 Fold|B LFO 1 Phase|B LFO 1 Rate|B LFO 1 Retrigger|B LFO 1 S. Rate|B LFO 1 Shape|B LFO 1 Sync|B LFO 1 Type|B LFO 2 Phase Offset|B LFO 2 Rate|B LFO 2 Retrigger|B LFO 2 S. Rate|B LFO 2 Sync|B LFO 2 Waveform|B Mod A Slope|B Mod Attack|B Mod D Slope|B Mod Decay|B Mod Final|B Mod Initial|B Mod Loop Mode|B Mod Peak|B Mod R Slope|B Mod Release|B Mod Sustain|B Octave|B On|B Osc Scale Aware|B Osc Shape|B Osc Tone|B Osc Type|B Pan|B Reset|B Reset To Voice Offset|B Tone Filter|B Transp Scale|B Transpose|B Volume|Drive|Engine B Delay|Limiter On|Link Envelopes|Mono Legato|Scale Aware|Voice Spread|Volume
Acid Kick:0.5|0.0078125|0.6484375|0.32786884903907776|0.0|0.5|0.234375|0.0|0.30000001192092896|0.203125|1.0|1.0|1.0|0.0|2.0|0.0|0.0|1.0|0.0|2.0|0.0|11.0|0.0|0.0|0.2313804030418396|1.0|15.0|0.0|0.0|0.0|0.0|0.4160108268260956|0.0|12.0|0.0|0.0|0.5|0.0|0.5|0.1796875|0.0|0.0|0.0|1.0|0.5|0.0|0.0|-2.0|1.0|1.0|0.0714285746216774|0.30158731341362|0.0|0.5|1.0|1.0|0.6349206566810608|0.0|0.0|0.6351351141929626|0.5|0.03125|0.5|0.3442623019218445|0.0|0.5|0.1953125|0.0|0.703125|0.109375|1.0|1.0|1.0|0.0|5.0|0.0|0.0|1.0|0.0|2.0|0.0|11.0|0.0|0.0|0.2313804030418396|1.0|15.0|0.0|0.0|0.0|0.0|0.4160108268260956|0.0|12.0|0.0|0.0|0.5|0.0|0.5|0.1953125|0.0|0.0|0.0|1.0|0.5|0.0|0.0|-2.0|1.0|1.0|0.1031746044754982|0.2698412835597992|0.0|0.5|1.0|1.0|0.3968254029750824|0.0|0.0|0.6351351141929626|0.1796875|0.0|0.0|0.0|0.0|0.0|0.0|0.7585775256156921
Avantchord:0.5|0.0707106813788414|0.75|0.349747896194458|0.0|0.75|0.421875|0.7071067690849304|0.5|0.2265625|1.0|0.6269841194152832|1.0|0.0546875|7.0|0.0|0.0|1.0|0.6984127163887024|13.0|0.0|0.0|0.0|0.0|0.20362289249897003|1.0|12.0|0.2777777910232544|1.0|0.0|0.0|0.2733524739742279|0.0|12.0|0.0|1.0|0.5|0.0707106813788414|0.75|0.349747896194458|0.0|0.0|0.0|1.0|0.75|0.4138748347759247|0.5|0.0|1.0|1.0|0.4761904776096344|1.0|24.0|0.5|1.0|1.0|0.4047619104385376|0.0|0.0|0.6132203340530396|0.5|0.0707106813788414|0.75|0.349747896194458|0.0|0.75|0.359375|0.7071067690849304|0.5|0.0|1.0|0.3095238208770752|1.0|0.6484375|4.0|0.0|0.0|1.0|0.658730149269104|4.0|0.3888888955116272|12.0|0.1269841343164444|0.0|0.40724578499794006|1.0|15.0|0.1031746044754982|0.0|4.0|0.0|0.2599167823791504|0.0|12.0|0.0|1.0|0.5|0.0|0.75|0.349747896194458|0.0|0.0|0.0|1.0|0.75|0.46643033623695374|0.5|0.0|1.0|1.0|0.2857142984867096|0.5952380895614624|11.0|0.5|1.0|1.0|0.5|0.0|0.0|0.6833333373069763|0.203125|0.0|1.0|0.0|1.0|1.0|0.0|0.7585775256156921
B-Stock:0.5|0.0|1.0|0.5859375|0.0|0.739130437374115|0.5078125|0.984375|0.5|0.4453125|1.0|0.3174603581428528|1.0|0.765625|12.0|0.0|0.0|1.0|1.0|2.0|0.8730158805847168|11.0|0.4841269850730896|0.0|0.0873015820980072|1.0|15.0|0.0|0.0|0.0|0.0|0.4160108268260956|0.0|12.0|0.0|0.0|0.5|0.0|1.0|0.3046875|0.0|0.3359375|0.0|0.984375|0.5|0.4921875|0.5859375|0.0|1.0|1.0|0.5555555820465088|0.3571428656578064|6.0|0.7578125|1.0|0.0|0.420634925365448|0.0|0.0|0.5423728823661804|0.5|0.0|1.0|0.5859375|0.0|0.739130437374115|0.5078125|0.0|0.5|0.2734375|1.0|0.4285714030265808|1.0|0.078125|4.0|0.0|0.0|1.0|0.0|2.0|0.0|11.0|0.0|0.0|0.2313804030418396|1.0|15.0|0.0|0.0|0.0|0.0|0.4160108268260956|0.0|12.0|0.0|0.0|0.5|0.0|1.0|0.3046875|0.0|0.3359375|0.0|0.984375|0.5|0.4921875|0.484375|0.0|1.0|1.0|0.3095238208770752|0.460317462682724|9.0|0.5|1.0|0.0|0.5|0.0|0.0|0.7166666388511658|0.0|0.0|0.0|0.0|1.0|0.0|0.6015625|0.5754392743110657
Bad Geometry Lead:0.2954545319080353|0.25|0.4375|0.7421875|0.0|0.75|0.349747896194458|0.3181818127632141|0.5|0.0703125|1.0|0.611111044883728|1.0|0.671875|14.0|0.0|0.0|1.0|0.0|5.0|0.523809552192688|0.0|1.0|0.0|0.3492063581943512|1.0|15.0|1.0|0.0|1.0|0.0|0.1328125|1.0|12.0|0.0|0.0|0.5|0.2421875|0.75|0.08196721225976944|0.0|0.0|1.0|0.54347825050354|0.75|0.349747896194458|0.28260868787765503|0.0|1.0|1.0|0.2539682686328888|0.2698412835597992|6.0|0.5|1.0|0.0|0.5952380895614624|0.0|1.0|0.6271186470985413|0.5|0.0707106813788414|0.75|0.349747896194458|0.0|0.75|0.349747896194458|0.7071067690849304|0.5|0.3203125|1.0|0.3015872836112976|1.0|0.6171875|4.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2313803881406784|1.0|15.0|0.0|0.0|1.0|0.0|0.2224830538034439|0.0|12.0|0.0|0.0|0.5|0.4375|0.75|0.296875|0.0|0.0|0.0|0.9318181872367859|0.75|0.349747896194458|0.9130434989929199|-1.0|1.0|1.0|0.1746031790971756|1.0|18.0|0.5|1.0|0.0|0.8888888955116272|0.0|0.0|0.3166666626930237|0.078125|0.0|1.0|0.0|0.0|0.0|0.4609375|0.7585775256156921
Bad Maths Arp:0.2954545319080353|0.0|0.4375|0.484375|0.0|0.75|0.349747896194458|1.0|0.5|0.0|1.0|0.7460317611694336|1.0|0.2265625|14.0|0.0|0.0|1.0|0.0|5.0|0.0|0.0|0.0|0.0|0.3095238208770752|1.0|14.0|0.0|1.0|1.0|0.0|0.109375|1.0|0.0|1.0|0.0|0.5|0.28125|0.75|0.2174711674451828|0.0|0.0|1.0|0.28260868787765503|0.75|0.349747896194458|0.022727273404598236|0.0|1.0|1.0|0.3125|0.2936508059501648|2.0|0.5|1.0|0.0|0.5952380895614624|0.0|0.0|0.5593220591545105|0.5|0.0707106813788414|0.75|0.349747896194458|0.0|0.75|0.349747896194458|0.7071067690849304|0.5|0.3203125|1.0|0.3492063581943512|1.0|0.6171875|4.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2313803881406784|1.0|15.0|0.0|0.0|1.0|0.0|0.2224830538034439|1.0|2.0|1.0|1.0|0.5|0.4204482138156891|0.75|0.349747896194458|0.0|0.0|0.0|0.9318181872367859|0.75|0.349747896194458|0.5|-1.0|1.0|1.0|0.3095238208770752|0.920634925365448|2.0|0.5|1.0|0.0|0.1507936716079712|0.0|0.0|0.6166666746139526|0.15625|0.0|1.0|0.0|1.0|0.0|0.4140625|0.7585775256156921
Balkan Kid:0.5|0.15948034822940826|0.75|0.40594619512557983|0.0|0.75|0.34375|1.0|0.4921875|0.9921875|1.0|0.3650793433189392|1.0|0.3515625|14.0|0.0|0.0|1.0|0.30158731341362|14.0|1.0|2.0|1.0|0.0|0.28507205843925476|1.0|15.0|0.0|1.0|3.0|0.0|0.41507065296173096|0.0|12.0|1.0|4.0|0.40909090638160706|0.492939293384552|0.5|0.5509269833564758|0.0|0.0|0.0|1.0|0.75|0.6089192628860474|0.0|0.0|1.0|1.0|0.46875|0.6666666865348816|15.0|0.4453125|1.0|1.0|0.4444444477558136|-7.0|-12.0|0.6271186470985413|0.8181818127632141|0.15948034822940826|0.6153846383094788|0.8408885598182678|0.0|0.75|0.375|0.6136363744735718|0.5625|0.390625|1.0|0.4682539999485016|1.0|0.515625|10.0|0.0|0.0|1.0|0.5079365372657776|6.0|0.6984127163887024|10.0|0.2857142984867096|0.0|0.2313803881406784|0.0|15.0|0.4047619104385376|1.0|1.0|0.0|0.2224830538034439|0.0|6.0|1.0|1.0|0.5|0.39145177602767944|0.5454545617103577|0.3624519407749176|0.0|0.0|0.0|1.0|0.75|0.349747896194458|0.0|0.0|1.0|1.0|0.30158731341362|0.1031746044754982|12.0|0.5|1.0|1.0|0.60317462682724|0.0|0.0|0.30000001192092896|0.10000000149011612|0.0|0.0|0.0|1.0|0.0|0.0|0.6606927514076233
Bassic:0.5|0.0707106813788414|0.75|0.349747896194458|0.0|0.75|0.3125|0.7071067690849304|0.5|0.484375|1.0|0.579365074634552|0.0|0.1171875|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.2698412835597992|0.0|0.1493234485387802|0.0|15.0|0.523809552192688|0.0|0.0|0.0|0.32317662239074707|0.0|12.0|0.0|0.0|0.5|0.0707106813788414|0.75|0.349747896194458|0.0|0.0|0.0|1.0|0.75|0.349747896194458|0.5|1.0|1.0|1.0|0.2063492089509964|0.6666666865348816|5.0|0.5|1.0|1.0|0.4761904776096344|0.0|0.0|0.6351351141929626|0.5|0.20297499001026154|0.75|0.349747896194458|0.0|0.75|0.2734375|0.7071067690849304|0.546875|0.390625|1.0|0.555555522441864|1.0|0.0|4.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.261904776096344|0.0|0.1696857362985611|1.0|15.0|0.7698412537574768|0.0|5.0|0.0|0.2224830538034439|0.0|12.0|0.0|0.0|0.5|0.0707106813788414|0.75|0.349747896194458|0.0|0.0|0.0|1.0|0.75|0.349747896194458|0.5|0.0|1.0|1.0|0.2698412835597992|0.380952388048172|0.0|0.421875|1.0|1.0|0.6904761791229248|0.0|0.0|0.6000000238418579|0.3492063581943512|0.0|0.0|0.0|0.0|0.0|0.0|0.7585775256156921
Beard Comb:0.5|0.3442623019218445|0.8333333134651184|0.5409836173057556|0.0|0.75|0.5081967115402222|0.3478260934352875|0.5546875|0.4765625|1.0|0.2700439989566803|1.0|1.0|13.0|0.0|0.0|1.0|0.0|6.0|0.1428571492433548|11.0|0.0|0.0|0.1428571492433548|1.0|15.0|0.0|0.0|0.0|0.0|0.4160108268260956|0.0|12.0|0.0|0.0|0.5|0.0|0.5|0.349747896194458|0.0|0.0|0.0|1.0|0.5|0.1866055279970169|0.0|0.0|1.0|1.0|0.6507936716079712|0.7142857313156128|19.0|0.5|1.0|0.0|0.2936508059501648|0.0|0.0|0.5540540814399719|0.5|0.0|0.8620689511299133|0.49180328845977783|0.0|0.804347813129425|0.4590163826942444|0.3695652186870575|0.453125|0.4765625|1.0|0.37059783935546875|1.0|1.0|14.0|0.0|0.0|1.0|0.0|6.0|0.1428571492433548|11.0|0.0|0.0|0.079365074634552|1.0|15.0|0.0|0.0|0.0|0.0|0.4160108268260956|0.0|12.0|0.0|0.0|0.5|0.0|0.5|0.349747896194458|0.0|0.0|0.0|1.0|0.5|0.1866055279970169|0.0|-2.0|1.0|1.0|0.9047619104385376|0.7063491940498352|19.0|0.5|1.0|0.0|0.3968254029750824|0.0|0.0|0.5540540814399719|0.171875|0.0|0.0|0.0|1.0|0.0|0.34375|0.5754392743110657
Bully Brass:0.5|0.234375|0.5|0.2265625|0.0|0.5|0.265625|0.5625|0.515625|0.4140625|1.0|0.3095238208770752|1.0|1.0|5.0|0.0|0.0|1.0|0.0|2.0|0.0|11.0|0.0|0.0|0.1190476194024086|1.0|15.0|0.0|0.0|0.0|0.0|0.4160108268260956|0.0|12.0|0.0|0.0|0.5|0.2786885201931|0.5|0.2786885201931|0.0|0.0|0.0|1.0|0.5|0.4590163826942444|0.804347813129425|-1.0|1.0|1.0|0.0634920671582222|0.230158731341362|0.0|0.5|1.0|1.0|0.5|0.0|0.0|0.6351351141929626|0.5|0.4590163826942444|0.5|0.24590164422988892|0.0|0.5|0.1866055279970169|0.0|0.484375|0.8515625|1.0|0.2380952388048172|1.0|1.0|5.0|0.0|0.0|1.0|0.0|2.0|0.0|11.0|0.190476194024086|0.0|0.1349206417798996|1.0|15.0|0.1269841343164444|0.0|0.0|0.0|0.4160108268260956|0.0|12.0|0.0|0.0|0.5|0.0|0.5|0.349747896194458|0.0|0.0|0.0|1.0|0.5|0.1866055279970169|0.0|0.0|1.0|1.0|0.1984127014875412|0.5634920597076416|0.0|0.5|1.0|1.0|0.5|0.0|0.0|0.6351351141929626|0.546875|0.0|1.0|1.0|1.0|0.0|0.0703125|0.6718076467514038
Carbon String:0.5|0.0|0.5|0.349747896194458|0.0|0.804347813129425|0.46875|1.0|0.6328125|0.6171875|1.0|0.5714285969734192|1.0|0.3515625|5.0|0.0|0.0|1.0|0.0|2.0|0.0|11.0|0.0|0.0|0.2313804030418396|1.0|15.0|0.0|0.0|0.0|0.0|0.4160108268260956|0.0|12.0|0.0|0.0|0.5|0.0|0.5|0.3671875|0.0|0.0|0.0|1.0|0.5|0.1866055279970169|0.921875|0.0|1.0|1.0|0.3571428656578064|0.7222222089767456|4.0|0.2421875|1.0|1.0|0.5|0.0|0.0|0.5945945978164673|0.5|0.0|0.5|0.703125|0.0|0.97826087474823|0.484375|1.0|0.421875|0.4375|1.0|0.6666666865348816|1.0|0.40625|5.0|0.0|0.0|1.0|0.0|2.0|0.0|11.0|0.3571428656578064|0.0|0.2313804030418396|1.0|15.0|0.3968254029750824|0.0|0.0|0.0|0.4160108268260956|0.0|12.0|0.0|0.0|0.7045454382896423|0.0|0.5681818127632141|1.0|0.0|0.0|0.0|0.95652174949646|0.5|0.1866055279970169|0.0|0.0|1.0|1.0|0.0|0.2777777910232544|3.0|0.7265625|1.0|1.0|0.5|0.0|0.0|0.5945945978164673|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.5248063802719116
