@params:Amp A Slope|Amp Attack|Amp D Slope|Amp Decay|Amp Loop Mode|Amp R Slope|Amp Release|Amp Sustain|Env 2 A Slope|Env 2 Attack|Env 2 D Slope|Env 2 Decay|Env 2 Final|Env 2 Initial|Env 2 Loop Mode|Env 2 Peak|Env 2 R Slope|Env 2 Release|Env 2 Sustain|Env 3 A Slope|Env 3 Attack|Env 3 D Slope|Env 3 Decay|Env 3 Final|Env 3 Initial|Env 3 Loop Mode|Env 3 Peak|Env 3 R Slope|Env 3 Release|Env 3 Sustain|Filter 1 BP/NO/Morph|Filter 1 Drive|Filter 1 Freq|Filter 1 LP/HP|Filter 1 Morph|Filter 1 On|Filter 1 Res|Filter 1 Slope|Filter 1 Type|Filter 2 BP/NO/Morph|Filter 2 Drive|Filter 2 Freq|Filter 2 LP/HP|Filter 2 Morph|Filter 2 On|Filter 2 Res|Filter 2 Slope|Filter 2 Type|FilterRouting|Glide|Global Mod Amount|LFO 1 Amount|LFO 1 Attack Time|LFO 1 Phase Offset|LFO 1 Rate|LFO 1 Retrigger|LFO 1 S. Rate|LFO 1 Shape|LFO 1 Shaping|LFO 1 Sync|LFO 2 Amount|LFO 2 Attack Time|LFO 2 Phase Offset|LFO 2 Rate|LFO 2 Retrigger|LFO 2 S. Rate|LFO 2 Shape|LFO 2 Shaping|LFO 2 Sync|MonoPoly|Osc 1 Detune|Osc 1 Effect 1|Osc 1 Effect 2|Osc 1 Gain|Osc 1 On|Osc 1 Pan|Osc 1 Pos|Osc 1 Transp|Osc 2 Detune|Osc 2 Effect 1|Osc 2 Effect 2|Osc 2 Gain|Osc 2 On|Osc 2 Pan|Osc 2 Pos|Osc 2 Transp|Osc1Class|Osc1Effect|Osc1Index|Osc2Class|Osc2Effect|Osc2Index|PolyVoices|Sub Gain|Sub On|Sub Tone|Sub Transpose|Time|Transpose|Unison Amount|UnisonMode|UnisonVoices|Volume|XyzParamMatrix
12 CCs And Counting:0.640625|0.1484375|0.25|0.8515625|0.0|0.9765625|0.3046875|0.96875|0.359375|0.7265625|0.796875|0.9921875|0.0|0.8515625|0.0|1.0|0.390625|0.5078125|1.0|0.4375|0.3203125|0.8515625|0.53125|0.6328125|0.640625|0.0|0.09375|0.75|0.375|0.8671875|0.0|0.0703125|0.007937001995742321|0.0|0.0|1.0|0.3253968358039856|0.0|0.0|0.0|0.203125|0.10317506641149521|1.0|0.0|1.0|0.3571428656578064|0.0|1.0|2|0.0|0.5078125|0.2421875|0.0|0.3828125|0.125|1.0|15.0|2.0|0.1015625|1.0|0.234375|0.1875|0.4765625|0.1015624925494194|1.0|10.0|0.0|0.109375|1.0|1|0.4765625|0.5|0.171875|0.8151260614395142|1.0|0.2734375|0.6134454011917114|0.0|0.5546875|0.453125|0.078125|0.5546218752861023|1.0|0.6015625|0.1764705926179886|7.0|10|3|2|10|2|8|4|0.3203125|1.0|0.8359375|1.0|0.5|0.0|0.234375|2|4|0.4609375|Osc 1 Pos=-0.03125/-0.359375/0.140625/-0.25/0.0/0.046875/0.0/0.0/0.0/-0.734375/0.0!Volume=0.0/0.109375/0.0/0.0/0.15625/0.203125/0.0/0.0/0.0/0.0/0.0!Transpose=0.0/0.00468754768371582/0.0015624761581420898/0.0/0.0/0.0/0.0/0.046666622161865234/0.0/0.0/0.0!Osc 1 Effect 2=-0.03125/-0.359375/0.234375/-0.25/0.15625/0.03125/0.0/0.0/0.0/0.234375/0.0!Osc 1 Pan=0.0/0.078125/0.0/0.15625/0.0/-0.46875/0.0/0.0/0.0/0.0/0.0!Osc 2 Pos=0.21875/-0.203125/0.171875/0.25/0.3125/0.0/0.0/0.0/0.0/-0.296875/0.0!Osc 2 Effect 2=-0.296875/0.28125/-0.203125/-0.171875/-0.078125/0.0/0.0/0.0/0.0/0.34375/0.0!Osc 2 Pan=0.0/-0.109375/0.0/0.0/-0.140625/0.296875/0.0/0.0/0.0/0.0/0.0!Sub Tone=0.03125/0.109375/0.0/0.171875/0.125/0.0/0.0/0.0/0.0/0.4375/0.0!Sub Gain=0.0/0.375/0.140625/0.140625/-0.046875/0.0/0.0/0.0/0.0/0.15625/0.0!Filter 1 Freq=-0.015625/0.375/0.109375/0.46875/0.046875/0.015625/0.0/0.0/0.0/-0.078125/0.0!Filter 2 Freq=0.5625/0.109375/-0.3125/-0.046875/-0.328125/-0.03125/0.0/0.0/0.0/-0.203125/0.0!LFO 2 Shaping=0.0/-0.03125/0.015625/0.0/0.0/0.140625/0.0/0.0/0.0/0.0/0.0
37th Street:0.5|0.078125|0.738095223903656|0.7567567825317383|0.0|0.71875|0.1953125|0.953125|0.5|0.1015625|1.0|0.9609375|0.0|0.1796875|0.0|0.8515625|0.75|0.3359375|0.7578125|0.4140625|0.1953125|0.328125|0.662162184715271|0.0|0.4765625|0.0|0.9923076629638672|0.75|0.41592657566070557|0.53125|0.0|0.265625|0.42856931686401367|0.0|0.0|1.0|0.444444477558136|0.0|0.0|0.0|0.140625|0.753974437713623|0.0|0.0|1.0|0.341269850730896|0.0|0.0|0|0.2265625|0.5|0.1953125|0.359375|0.0|0.18749995529651642|1.0|11.0|0.0|0.71875|1.0|0.0625|0.25|0.0|0.2187499850988388|1.0|15.0|0.0|0.6875|0.0|0|0.5|0.546875|0.0|0.7142857313156128|1.0|0.5|0.5042017102241516|0.0|0.4765625|0.0|0.2265625|0.21848739683628082|1.0|0.5234375|0.4957983195781708|0.0|0|2|0|0|1|0|4|0.21875|1.0|0.84375|1.0|0.4609375|0.0|0.1796875|5|4|0.9418749809265137|Osc 1 Pos=0.0/0.0/0.0/0.0/1.0/0.03125/0.0/0.0/0.0/0.03125/0.0!Volume=0.0/0.0/0.0/0.0/0.0/0.171875/0.0/0.0/0.0/0.0/0.0!Transpose=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.04200005531311035/0.0/0.0/0.0!Osc 1 Effect 2=0.0/0.1875/0.28125/-0.0625/0.0/0.484375/0.0/0.0/0.0/0.0/0.0!Filter 1 Freq=0.0/0.109375/0.2987499237060547/-0.0625/-0.4375/0.109375/0.0/0.0/0.5/0.21875/0.0!Filter 2 Freq=0.0/0.140625/-0.019999980926513672/0.0/0.0/-0.009999990463256836/0.0/0.0/0.0/0.0/0.0!Osc 1 Effect 1=0.0/0.125/-0.109375/0.09375/-0.390625/0.28125/0.0/0.0/0.0/0.0/0.0!Env 2 Attack=0.0/0.25/-0.359375/0.0/0.0/0.390625/0.0/0.0/0.0/0.0/0.0!LFO 1 Amount=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.84375/0.0!LFO 1 S. Rate=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.484375/0.0!LFO 2 Amount=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/1.0/0.0!LFO 2 S. Rate=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.390625/0.0!Unison Amount=0.0/-0.4375/0.578125/0.078125/0.265625/0.171875/0.0/0.0/0.0/0.125/0.0
A Brief History of Chime:0.5|0.11940298229455948|0.75|0.31343284249305725|0.0|0.75|0.3671875|0.6615384817123413|0.5|0.453125|0.75|0.640625|0.0|0.0|0.0|1.0|0.75|0.41592657566070557|0.6692307591438293|0.5|0.7538461685180664|0.75|0.6307692527770996|0.0|0.0|2.0|1.0|0.75|0.692307710647583|0.0|0.0|0.0|0.808411717414856|4.0|0.0|1.0|0.6136363744735718|0.0|0.0|0.0|0.0|0.6448685526847839|2.0|0.0|1.0|0.09090909361839294|0.0|0.0|0|0.0|0.171875|0.8828125|0.0|0.0|0.3593749701976776|1.0|15.0|1.0|0.5|0.0|1.0|0.0|0.859375|0.2343749850988388|1.0|15.0|0.0|0.5|0.0|1|0.5|0.9765625|0.0|1.0|1.0|0.5|0.6554622054100037|0.0|0.5|0.5|0.0|0.756302535533905|0.0|0.5|0.42016807198524475|0.0|6|1|7|5|0|10|3|0.5011875033378601|0.0|0.0|1.0|0.734375|-12.0|0.4453125|5|2|0.7578125|Osc 1 Pos=0.0/0.0/0.234375/0.0/0.453125/0.4375/0.0/0.0/0.0/0.0/0.0!Volume=0.0/0.0/0.0/0.0/0.0/0.5/-0.578125/0.0/0.0/0.0/0.0!Transpose=0.0/0.0/0.0/0.001999974250793457/-0.001699984073638916/0.0/0.0/0.046666622161865234/0.0/0.0/0.0!Osc 1 Effect 2=0.0/1.0/0.0/1.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0!Filter 1 Freq=0.0/1.0/0.0/0.0/0.0/0.0/0.039064884185791016/0.0/0.0/0.0/0.0!Filter 2 Freq=0.0/0.15625/1.0/0.1875/0.0/0.0/0.0/0.0/0.0/0.0/0.0!LFO 1 S. Rate=0.0/0.0/0.0/0.0/0.0625/-0.21875/0.0/0.0/0.0/0.0/0.0!LFO 2 Amount=0.0/0.0/0.0/0.28125/0.0/0.1875/0.0/0.0/0.0/0.0/0.0!Unison Amount=0.0/0.0/0.0/0.0/0.0/1.0/0.0/0.0/0.0/0.0/0.0!Osc 2 Pos=0.0/0.0/0.0/-0.0625/0.34375/0.0/0.0/0.0/0.0/0.0/0.0!Osc 2 Gain=0.0/0.0/0.0/0.59375/0.0/0.0/0.0/0.0/0.0/0.0/0.0!LFO 1 Shaping=0.0/0.0/0.5625/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0
A DnW Bell:0.5|0.0|0.5|0.9921875|0.0|0.390625|0.46875|0.890625|0.5|0.0078125|0.75|0.65625|0.0|0.0|0.0|1.0|0.75|0.5703125|0.875|0.5|0.2890625|0.75|0.9765625|0.0|0.0|0.0|1.0|0.75|0.390625|0.875|0.0|0.0|0.8174570798873901|0.0|0.0|1.0|0.57421875|0.0|0.0|0.0|0.109375|0.7222188711166382|1.0|0.0|1.0|0.6349206566810608|1.0|0.0|2|0.0|0.4296875|0.0546875|0.0|0.0|0.14062495529651642|1.0|15.0|0.0|0.5|0.0|0.2265625|0.0|0.0|0.2578125|1.0|15.0|0.0|0.5|0.0|1|0.4765625|0.5|0.03125|0.7478991746902466|1.0|0.2421875|0.529411792755127|0.0|0.5|0.625|0.0|0.8403361439704895|1.0|0.625|0.680672287940979|0.0|7|1|8|7|2|3|6|0.28125|1.0|0.7578125|0.0|0.5|0.0|0.140625|1|2|0.5625|Osc 1 Pos=-0.109375/0.0/0.5/-0.265625/0.078125/0.0625/0.0/0.0/0.0/0.0/0.0!Volume=0.0/0.0/0.0/0.0/0.0/0.15625/0.0/0.0/0.0/0.0/0.0!Transpose=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.046666622161865234/0.0/0.0/0.0!Osc 1 Effect 2=0.125/0.296875/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0!Filter 1 Freq=0.0/0.0/0.0/0.0/0.0/0.125/0.0/0.0/0.0/0.0/0.0!Osc 2 Pos=0.09375/0.0/0.0/0.0/-0.359375/0.0/0.0/0.0/0.0/0.0/0.0!Osc 1 Pan=0.0/0.0/0.0/0.0/0.0/-0.484375/0.0/0.0/0.0/0.0/0.0!Osc 2 Transp=0.0/-0.0009999871253967285/0.0/0.09375/0.0/0.0/0.0/0.0/0.0/0.0/0.0!Osc 2 Pan=0.0/0.0/0.0/0.0/0.0/0.21875/0.0/0.0/0.0/0.0/0.0!Sub Gain=0.453125/0.40625/0.0/0.09375/0.0/0.234375/0.0/0.0/0.0/0.0/0.0
A Degree Of Synth:0.78125|0.0390625|0.46875|0.41304346919059753|0.0|0.6328125|0.515625|1.0|0.828125|0.4921875|0.75|0.4453125|0.0|0.6796875|0.0|1.0|0.75|0.41592657566070557|0.671875|0.5|0.08408964425325394|0.75|0.43478259444236755|0.0|0.0|0.0|1.0|0.75|0.41592657566070557|0.6953125|0.0|0.0234375|0.6508103609085083|0.0|0.0|1.0|0.3203125|0.0|0.0|0.0|0.0703125|0.4920652508735657|0.0|0.0|1.0|0.3253968358039856|0.0|0.0|1|0.0|0.4765625|0.40625|0.1171875|0.0|0.23437495529651642|1.0|2.0|0.0|0.5|1.0|0.5703125|0.203125|0.0|0.3828125|1.0|3.0|0.0|0.5|1.0|1|0.4765625|0.546875|0.171875|1.0|1.0|0.203125|0.6554622054100037|0.0|0.546875|0.625|0.0|0.7815126180648804|1.0|0.8984375|0.26050421595573425|0.0|10|2|5|0|2|5|4|0.5011875033378601|1.0|0.703125|1.0|0.5|0.0|0.0625|2|2|0.578125|Osc 1 Pos=0.0/0.0/0.0/0.515625/0.0/0.265625/0.0/0.0/0.20000004768371582/0.0/0.0!Volume=0.0625/0.03125/0.0/0.0/0.0625/0.5/0.0/0.0/0.0/0.0/0.0!Transpose=0.0/0.001000046730041504/0.0/0.0/0.0/0.0/0.0/0.04200005531311035/0.0/0.0/0.0!Filter 1 Freq=0.0/0.03125/0.0/0.0/0.03125/0.140625/0.0/0.0/0.0/0.10000002384185791/0.0!Osc 2 Pos=0.265625/0.09375/0.0625/-0.109375/-0.046875/0.0/0.0/0.0/0.0/0.484375/0.0!Osc 1 Pan=0.0/0.15625/0.0/0.140625/-0.234375/0.0/0.0/0.0/0.0/0.0/0.0!Osc 2 Transp=0.0/0.0/-0.015625/0.0/0.004999995231628418/0.0/0.0/0.0/0.0/0.0/0.0!Osc 2 Pan=0.046875/0.0/0.0/0.484375/0.0/0.0/0.0/0.0/0.0/0.296875/0.0!Osc 2 Effect 1=0.0/0.0/0.0/0.171875/0.015625/-0.0625/0.0/0.0/0.0/0.0/0.0!LFO 2 Amount=0.0/0.03125/0.0/0.03125/0.0/0.0/0.0/0.0/0.0/0.5/0.0
A Lower Tract:0.5|0.0|0.75|0.2421875|0.0|0.75|0.0546875|0.859375|0.2604166567325592|0.265625|0.4583333432674408|0.1171875|0.0|0.0|2.0|0.7384615540504456|0.75|0.125|0.6875|0.13846153020858765|0.3203125|0.6953125|0.203125|0.0|0.0|2.0|1.0|0.75|0.1796875|0.3076923191547394|0.0|0.3203125|0.4047623574733734|2.0|0.0|1.0|0.25|0.0|0.0|1.0|0.7265625|0.5952386856079102|2.0|0.0|1.0|0.460317462682724|1.0|0.0|1|0.3125|0.6015625|0.0|0.0|0.296875|1.0|1.0|8.0|2.0|0.7578125|1.0|0.0|0.15625|0.0|0.6015625|1.0|11.0|3.0|0.3359375|1.0|0|0.5|0.5546875|0.0|0.9579831957817078|1.0|0.1953125|0.36974790692329407|-24.0|0.5|0.5390625|0.0|0.9663865566253662|1.0|0.71875|0.3781512677669525|-24.0|3|2|2|2|2|9|6|0.1875|1.0|0.90625|1.0|1.0|0.0|0.1875|4|4|0.40531253814697266|Osc 1 Pos=0.0/-0.40625/0.09375/0.296875/0.28125/0.234375/0.0/0.0/0.0/0.0/0.0!Volume=0.0/0.09375/0.125/0.0/0.0/0.5/0.0/0.0/0.0/0.0/0.0!Transpose=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.46875/0.0/0.0/0.0!Filter 1 Freq=-0.078125/-0.203125/0.59375/-0.296875/-0.5625/0.15625/0.0/0.0/0.5625/-0.21875/0.0!Osc 2 Pos=0.203125/-0.265625/0.890625/0.0/0.0/0.109375/0.0/0.0/0.0/0.0/0.0!Osc 1 Pan=0.0/0.125/-0.140625/0.515625/0.0/0.0/0.0/0.0/0.0/0.0/0.0!Osc 2 Pan=0.0/-0.328125/-0.140625/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0!Osc 2 Effect 1=0.0/-0.53125/-0.609375/0.34375/-0.578125/0.0/0.0/0.0/0.0/0.0/0.0!Osc 1 Effect 1=0.0/0.6875/0.453125/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0!Osc 1 Effect 2=0.0/-0.625/0.234375/-0.46875/0.21875/0.0/0.0/0.0/0.0/0.0/0.0!Filter 1 Res=0.0/0.15625/0.0/0.0/0.0/0.46875/0.0/0.0/0.421875/0.296875/0.0!Filter 1 Drive=0.0/0.0/0.0/0.125/0.0/0.296875/0.0/0.0/0.0/0.0/0.0!Filter 2 Freq=0.015625/-0.609375/0.28125/0.0/0.359375/0.421875/0.0/0.0/0.0/0.0/0.0!Filter 2 Res=0.0/0.0/0.0/0.0/0.0/0.375/0.0/0.0/0.0/0.40625/0.0!Env 2 Sustain=0.0/0.203125/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0!Env 3 Decay=0.0/0.9375/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0!Env 3 Peak=0.0/0.0/0.0/0.53125/0.75/0.0/0.0/0.0/0.0/0.0/0.0!LFO 1 Amount=-0.09375/0.296875/0.375/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0
A Soft Chord:0.5|0.07734374701976776|0.75|0.4609375|0.0|0.671875|0.453125|0.75|0.640625|0.2734375|0.5078125|0.4921875|0.0|0.0|0.0|1.0|0.609375|0.4296875|0.8125|0.5|0.5|0.75|0.6328125|0.0|0.0|0.0|1.0|0.75|0.6953125|0.9765625|0.0|0.0|0.7301532626152039|0.0|0.0|1.0|0.3515625|0.0|0.0|0.0|0.0|0.5634893178939819|0.0|0.0|1.0|0.3968254029750824|0.0|0.0|0|0.0|0.5|0.4375|0.0|0.3046875|0.0624999925494194|1.0|15.0|0.0|0.5|0.0|0.2734375|0.015625|0.0|0.0624999925494194|1.0|15.0|0.0|0.703125|0.0|1|0.5234375|0.5|0.0|0.7647058963775635|1.0|0.2578125|0.8151260614395142|0.0|0.5|0.5|0.0|0.8235294222831726|1.0|0.8046875|0.6890756487846375|7.0|0|3|0|0|2|0|4|0.328125|1.0|0.265625|0.0|0.5|0.0|0.28125|1|4|0.4466831386089325|Osc 1 Pos=0.0/0.0/-0.4375/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0!Volume=0.0/0.0/0.0/0.0/0.0/-0.125/0.0/0.0/0.0/0.0/0.0!Transpose=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.046666622161865234/0.0/0.0/0.0!Filter 1 Freq=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.328125/0.0/0.0!Osc 2 Pos=0.09375/-0.125/0.0/0.0/0.0/0.328125/0.0/0.0/0.0/0.0/0.0!Osc 1 Pan=0.171875/0.125/0.0/-0.46875/0.0/-0.28125/0.0/0.0/0.0/0.0/0.0!Osc 2 Pan=-0.078125/-0.125/0.0/0.0/0.40625/0.0/0.0/0.0/0.0/0.0/0.0!Osc 2 Effect 1=0.046875/-0.109375/0.140625/0.328125/-0.21875/0.0/0.0/0.0/0.0/0.0/0.0!Osc 1 Effect 1=0.0/0.0/-0.0625/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0!Osc 1 Effect 2=0.0/-0.1875/0.0/-0.109375/1.0/0.0/0.0/0.0/0.0/0.0/0.0!Filter 1 Res=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.4375/0.0/0.0!Filter 2 Freq=0.03125/0.0625/-0.515625/0.0/0.0/0.09375/0.0/0.0/0.078125/0.0/0.0!Amp Attack=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.484375/0.0/0.0!Env 2 Attack=-0.15625/-0.03125/0.0/0.0/0.0/-0.359375/0.0/0.0/-0.078125/0.0/0.0
A Thick Wave:0.5|0.03125|0.738095223903656|0.7567567825317383|0.0|0.71875|0.15625|1.0|0.5|0.0859375|1.0|0.8671875|0.0|0.09375|0.0|0.7734375|0.75|0.3359375|1.0|0.4140625|0.2421875|0.328125|0.662162184715271|0.0|0.4765625|0.0|0.9923076629638672|0.75|0.41592657566070557|0.53125|0.0|0.265625|0.4047623574733734|0.0|0.0|1.0|0.6111111044883728|0.0|0.0|0.0|0.140625|0.8095242381095886|0.0|0.0|1.0|0.579365074634552|0.0|0.0|0|0.2265625|0.5|0.28125|0.359375|0.0|0.18749995529651642|1.0|1.0|0.0|0.6640625|1.0|0.25|0.328125|0.0|0.2421874850988388|1.0|15.0|0.0|0.4609375|0.0|0|0.5|0.5078125|0.0|0.7142857313156128|1.0|0.5|0.4285714328289032|0.0|0.4765625|0.0|0.2265625|0.45378151535987854|0.0|0.5234375|0.6554622054100037|0.0|0|2|0|0|1|0|4|0.25|1.0|0.84375|1.0|0.4609375|0.0|0.5234375|6|7|0.7890625|Osc 1 Pos=0.0/0.0/0.0/0.0/1.0/0.375/0.0/0.0/0.0/0.03125/0.0!Volume=0.0/0.0/0.0/0.0/0.0/0.171875/0.0/0.0/0.171875/0.0/0.0!Transpose=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.04200005531311035/0.0015624761581420898/0.0/0.0!Filter 1 Freq=0.0/0.109375/0.921875/-0.0625/-0.125/-0.390625/0.0/0.0/0.296875/0.21875/0.0!Osc 1 Effect 1=0.0/-0.21875/-0.109375/0.09375/-0.390625/0.28125/0.0/0.0/0.0/0.0/0.0!Osc 1 Effect 2=0.0/0.1875/0.28125/-0.0625/0.0/0.484375/0.0/0.0/-0.21875/0.0/0.0!Env 2 Attack=0.0/0.1875/0.0/0.0/0.0/0.0/0.0/0.0/0.5625/0.0/0.0!LFO 1 Amount=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.34375/1.0/0.0!LFO 1 S. Rate=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/1.0/0.0!LFO 2 Amount=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.703125/1.0/0.0!LFO 2 S. Rate=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.390625/0.0!Unison Amount=0.0/-0.4375/0.578125/0.078125/0.265625/0.171875/0.0/0.0/0.484375/0.125/0.0
A Wobble Modwheel:0.5|0.08408964425325394|0.75|0.41592657566070557|0.0|0.75|0.25|0.9375|0.5|0.578125|0.75|0.34375|0.0|0.0|0.0|1.0|0.75|0.3671875|0.21875|0.5|0.47058823704719543|0.75|0.41592657566070557|0.0|0.0|2.0|0.5846154093742371|0.75|0.41592657566070557|0.5|0.0|0.21875|0.34921616315841675|1.0|0.0|1.0|0.2936508059501648|1.0|0.0|0.0|0.0234375|0.9126961827278137|4.0|0.0|1.0|0.0|0.0|0.0|0|0.296875|0.5|1.0|0.0703125|0.0|0.28125|1.0|15.0|2.0|0.5|1.0|1.0|0.0859375|0.5|0.32078906893730164|1.0|15.0|1.0|0.34375|1.0|0|0.421875|0.359375|0.1875|0.8571428656578064|1.0|0.2578125|0.5249999761581421|0.0|0.5|0.4375|0.5234375|0.7983193397521973|1.0|0.734375|0.43697479367256165|0.0|5|3|3|2|3|2|6|0.53125|1.0|0.5078125|1.0|0.5|0.0|0.4296875|1|3|0.5234375|Osc 1 Pos=0.0/-0.390625/0.0/0.078125/0.0/0.0/0.0/0.0/0.484375/-0.265625/0.0!Volume=0.0/0.0/0.0/0.0/0.0/0.5/0.0/0.0/0.0/0.0/0.0!Transpose=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.296875/0.0/0.0/0.0!Filter 1 Freq=0.0/0.0/0.0/0.0/0.375/0.3125/0.0/0.0/0.09375/-0.21875/0.0!LFO 1 Amount=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/1.0/0.0!LFO 1 S. Rate=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.375/0.0!LFO 2 Amount=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/1.0/0.0!LFO 2 S. Rate=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.34375/0.0!Osc 2 Pos=0.0/-0.453125/0.0/0.125/0.0/0.0/0.0/0.0/0.5/0.4375/0.0!Osc 2 Effect 2=0.0/0.0/0.8125/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0!LFO 2 Shaping=0.0/0.0/0.0/0.03125/0.0/0.0/0.0/0.0/-0.4375/0.3125/0.0
Aaghra Keys:0.5|0.0703125|0.75|0.2578125|0.0|0.75|0.5390625|0.9921875|0.5|0.2578125|0.8515625|0.96875|0.0|0.0|0.0|0.6640625|0.796875|0.5|0.9921875|0.5|0.171875|0.75|0.59375|0.0|0.0|0.0|1.0|0.75|0.484375|0.859375|0.0|0.0|0.8074601888656616|0.0|0.0|1.0|0.3571428656578064|0.0|0.0|0.0|0.0|0.8095237612724304|0.0|0.0|1.0|0.2777777910232544|0.0|0.0|0|0.0|0.5546875|0.21875|0.0|0.0|0.031249994412064552|1.0|0.0|0.0|0.5|0.0|0.2421875|0.078125|0.1796875|0.0937499925494194|1.0|4.0|0.0|0.5|0.0|1|0.5546875|0.53125|0.015625|0.8823529481887817|1.0|0.109375|0.5602836608886719|-12.0|0.421875|0.546875|0.0703125|0.7058823704719543|1.0|0.8984375|0.8156028389930725|-12.0|10|2|11|0|2|0|4|0.5555555820465088|1.0|0.7142857313156128|1.0|0.0|0.0|0.5859375|6|3|0.4466831386089325|Osc 1 Pos=0.0/0.3125/0.0/-0.015625/0.0/0.0/0.0/0.0/0.0/1.0/0.0!Volume=0.0/0.0625/0.0/0.0/0.0/0.5/0.0/0.0/0.0/0.0/0.0!Transpose=0.0/0.0020833334419876337/0.0/0.0/0.0/0.0/0.0/0.041666626930236816/0.0/0.0/0.0!Filter 1 Freq=0.0/0.328125/0.25/-0.09375/0.0/0.0/0.0/0.0/0.0/0.0/0.03125!Osc 2 Effect 2=0.0/-0.046875/0.0/-0.109375/0.0/0.0/0.0/0.0/0.0/0.0/0.0!Osc 1 Pan=0.0/-0.078125/0.0/0.328125/0.53125/0.0/0.0/0.0/0.0/0.0/0.0!Osc 2 Effect 1=0.0/0.25/0.0/-0.34375/0.078125/0.0/0.0/0.0/0.0/0.0/0.0!Filter 2 Freq=0.0/0.125/-0.125/0.03125/-0.015625/0.0/0.0/0.0/0.0/0.0/0.046875!Amp Attack=0.0/-0.078125/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0!Env 2 Attack=0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.1875
