@params:Damp Amount|Damp Balance|Damp Tone|Detune|F Release|F Tine < Key|F Tine Color|F Tine Decay|F Tine Vol|F Tone Decay|F Tone Vol|KB Stretch|M Force|M Force < Key|M Force < Vel|M Stiff < Key|M Stiff < Vel|M Stiffness|Noise < Key|Noise Amount|Noise Decay|Noise Pitch|Note PB Range|P Amp < Key|P Amp In|P Amp Out|P Distance|P Symmetry|PB Range|Pickup Model|Semitone|Voices|Volume
E-Piano MKI Dirty:0.0|0.1328125|0.40625|0.5|0.5433070659637451|0.5158730149269104|0.421875|0.421875|0.7460317611694336|0.453125|0.787401556968689|0.5|0.3700787425041199|0.5714285969734192|0.4921875|0.5|0.5|0.4409448802471161|0.3359375|0.6692913174629211|0.7698413133621216|0.3515625|0.0|0.3359375|0.28125|0.4453125|0.25|0.6428571343421936|0.1666666716337204|0.0|12.0|30.0|0.5582084655761719
E-Piano MKI Mellow:0.078125|0.2421875|0.4453125|0.5|0.05511811003088951|0.7857142686843872|0.5158730149269104|0.375|0.7301587462425232|0.5158730149269104|0.4803149700164795|0.5|0.4094488322734833|0.3515625|0.7936508059501648|0.5|0.0|0.21259842813014984|0.5555555820465088|0.0|0.375|0.421875|0.0|0.5714285969734192|0.4296875|0.5396825671195984|0.3984375|0.8015873432159424|0.1666666716337204|0.0|12.0|30.0|0.4365079402923584
E-Piano MKI Simply:0.460317462682724|0.5396825671195984|0.4841269850730896|0.5|0.5|0.5|0.5555555820465088|0.6904761791229248|0.0|0.5|0.5|0.5|0.5158730149269104|0.5|0.5|0.5|0.5|0.5079365372657776|0.5|0.7063491940498352|0.4523809552192688|0.5952380895614624|0.0|0.5|0.5|0.5|0.4126984179019928|0.8095238208770752|1.0|0.0|12.0|30.0|0.4047619104385376
E-Piano MKII Bright:1.0|0.5079365372657776|0.8015873432159424|0.5|0.5118110179901123|0.944444477558136|0.682539701461792|0.171875|0.5952380895614624|0.6746031641960144|0.5826771855354309|0.5|0.5669291615486145|0.682539701461792|0.7222222089767456|0.5079365372657776|0.3359375|0.7322834730148315|0.4453125|0.5826771855354309|0.658730149269104|0.9365079402923584|0.0|0.2578125|0.34375|0.3125|0.4140625|0.6666666865348816|0.1666666716337204|0.0|12.0|30.0|0.380952388048172
E-Piano MKII Hard:0.658730149269104|0.2421875|0.4453125|0.5|0.23622047901153564|0.5079365372657776|0.4140625|0.658730149269104|0.3671875|0.4375|0.6614173054695129|0.5|0.14960630238056183|0.7301587462425232|0.523809552192688|0.21875|0.1953125|0.6692913174629211|0.1328125|0.4488188922405243|0.7698413133621216|0.841269850730896|0.0|0.203125|0.5079365372657776|0.8492063283920288|0.296875|0.7460317611694336|0.1666666716337204|0.0|12.0|30.0|0.3730158805847168
E-Piano MKII Hollow:0.5634920597076416|0.5476190447807312|0.0|0.5|0.04724409431219101|0.5079365372657776|0.7380952835083008|0.5317460298538208|0.484375|0.5634920597076416|0.5511810779571533|0.5|0.22834645211696625|0.4296875|0.453125|0.4375|0.328125|0.4566929042339325|0.4453125|0.4409448802471161|0.5634920597076416|0.2421875|0.0|0.5317460298538208|0.7380952835083008|0.8809524178504944|0.34375|0.0|0.1666666716337204|0.0|0.0|30.0|0.30158731341362
E-Piano MKII Old:0.078125|0.2421875|0.4453125|0.5|0.06299212574958801|0.34375|0.841269850730896|0.5|0.3359375|0.6111111044883728|0.6141732335090637|0.5|0.5039370059967041|0.5158730149269104|0.6269841194152832|0.421875|0.1953125|0.26771652698516846|0.5555555820465088|0.5196850299835205|0.375|0.421875|0.0|0.4765625|0.3671875|0.21875|0.3125|0.6984127163887024|0.1666666716337204|0.0|12.0|30.0|0.9126983880996704
E-Piano Short Sharp:0.34375|0.0|0.9920635223388672|0.5|0.4094488322734833|1.0|0.4609375|0.0|1.0|0.234375|0.031496062874794006|0.5|0.9370078444480896|0.5476190447807312|0.3125|0.5396825671195984|0.3828125|0.4803149700164795|0.5|0.3779527544975281|0.390625|0.9920635223388672|0.0|0.46875|0.7539682388305664|0.7142857313156128|0.0|0.3671875|0.1666666716337204|1.0|12.0|30.0|0.7047892212867737
E-Piano Short Soft:0.0234375|0.5476190447807312|0.0|0.5|0.0|0.15625|0.6746031641960144|0.09375|0.375|0.296875|0.6614173054695129|0.5|0.7165354490280151|0.5|0.4765625|0.5|0.328125|0.8188976645469666|0.4453125|0.4409448802471161|0.5634920597076416|1.0|0.0|0.5555555820465088|0.7698413133621216|0.7142857313156128|0.4375|0.0|0.1666666716337204|0.0|0.0|30.0|0.261904776096344
Organ Soft:0.0|0.390625|0.7936508059501648|0.5|0.3858267664909363|0.70634925365448|0.453125|0.375|0.0|0.9920635223388672|0.9921259880065918|0.5|0.15748031437397003|0.5|0.0|0.46875|0.0|0.5039370059967041|0.5158730149269104|0.0|0.203125|0.484375|0.0|0.2578125|0.6666666865348816|0.6666666865348816|0.9682539701461792|0.5714285969734192|0.1666666716337204|1.0|12.0|30.0|0.8650793433189392
