@params:Compand|Drive|Lowest|Mode|Operation|Out Hi|Out Low|Random|Range
Add some Random:0.0|0.0|1.0|0.0|2.0|127.0|1.0|30.0|127.0
Compression I:-0.4444444477558136|-0.0317460335791111|1.0|0.0|2.0|95.0|33.0|0.0|127.0
Compression II:-0.4126984179019928|-0.0317460335791111|1.0|0.0|2.0|80.0|45.0|0.0|127.0
Cut Above 64:0.0|0.0|1.0|1.0|2.0|64.0|1.0|0.0|127.0
Dynamic I:0.7142857313156128|-0.0317460335791111|1.0|0.0|2.0|101.0|28.0|0.0|127.0
Dynamic II:0.7142857313156128|-0.0317460335791111|1.0|0.0|2.0|126.0|7.0|0.0|127.0
Fix 1:0.0|0.0|1.0|2.0|2.0|1.0|1.0|0.0|127.0
Fix 32:0.0|0.0|1.0|2.0|2.0|32.0|1.0|0.0|127.0
Fix 64:0.0|0.0|1.0|2.0|2.0|64.0|1.0|0.0|127.0
Fix 96:0.0|0.0|1.0|2.0|2.0|96.0|1.0|0.0|127.0
Fix 127:0.0|0.0|1.0|2.0|2.0|127.0|1.0|0.0|127.0
Forte:0.0|0.5555555820465088|1.0|0.0|2.0|127.0|12.0|0.0|127.0
Invert:0.0|0.0|1.0|0.0|2.0|1.0|127.0|0.0|127.0
Piano:0.0|-0.5079365372657776|1.0|0.0|2.0|103.0|10.0|0.0|127.0
Total Piano:0.0|0.0|1.0|2.0|2.0|64.0|1.0|64.0|127.0
