@params:Amount|Center Freq|Doubler Time|Dry/Wet|Duty Cycle|Env Amount|Env Attack|Env Enabled|Env Release|FB Inv|Feedback|Flange Time|Lfo Blend|Mod Blend|Mod Freq|Mod Freq 2|Mod Phase|Mod Rate|Mod Rate 2|Mod Sync|Mod Sync 2|Mod Wave|Mode|Notches|Output Gain|Safe Freq|Spin|Spin Enabled|Spread|Warmth
Doubler Default:1.0|0.4768235981464386|0.6880202889442444|1.0|0.5|0.5|0.19732442498207092|1.0|0.49987494945526123|0.0|0.0|0.6075279116630554|0.0|0.0|0.361190527677536|0.361190527677536|0.0|4.0|4.0|1.0|1.0|1.0|2.0|4.0|0.7071067690849304|0.46830782294273376|0.0|0.0|0.5|0.0
Doubler Ether:0.3888888955116272|0.4768235981464386|0.14843742549419403|0.7063491940498352|0.5|0.5|0.19732442498207092|1.0|0.49987494945526123|0.0|0.2222222238779068|0.6075279116630554|0.0|0.0|0.5|0.361190527677536|0.0|2.0|4.0|0.0|1.0|1.0|2.0|4.0|0.8730158805847168|0.46830782294273376|0.0|0.0|0.5|0.1349206417798996
Doubler Mirror:0.6190476417541504|0.4768235981464386|0.3203124403953552|0.6666666865348816|0.5|0.5|0.19732442498207092|1.0|0.49987494945526123|0.0|0.2777777910232544|0.6075279116630554|0.0|0.0|0.2857142984867096|0.361190527677536|0.0|14.0|4.0|0.0|1.0|1.0|2.0|4.0|0.8015872836112976|0.46830782294273376|0.0|0.0|0.5|0.60317462682724
Doubler Thick:0.4126984179019928|0.4768235981464386|0.2812500298023224|0.7936508059501648|0.5|0.5|0.19732442498207092|1.0|0.49987494945526123|0.0|0.4761904776096344|0.546875|0.0|0.4375|0.3888888657093048|0.361190527677536|0.0|0.0|4.0|0.0|1.0|1.0|2.0|35.0|0.5873016119003296|0.46830782294273376|0.0|0.0|0.723437488079071|0.0
Flanger Default:1.0|0.4768235981464386|0.6880202889442444|1.0|0.5|0.5|0.19732442498207092|1.0|0.49987494945526123|0.0|0.0|0.6075279116630554|0.0|0.0|0.361190527677536|0.361190527677536|0.0|4.0|4.0|1.0|1.0|1.0|1.0|4.0|0.7071067690849304|0.46830782294273376|0.0|0.0|0.5|0.0
Flanger Rebound:0.6377952694892883|0.01781233213841915|0.6880202889442444|0.8110235929489136|0.5|0.5|0.19732442498207092|1.0|0.49987494945526123|0.0|0.24409449100494385|0.5209153294563293|0.0|0.2890625|0.361190527677536|0.361190527677536|0.0|6.0|4.0|1.0|1.0|1.0|1.0|16.0|0.7071067690849304|0.46830782294273376|0.0|0.0|0.723437488079071|0.0873015895485878
Flanger Spinning:0.5|0.4768235981464386|0.6880202889442444|0.5952380895614624|0.5|0.5|0.19732442498207092|0.0|0.49987494945526123|0.0|0.78125|0.7890625|0.0|0.4375|0.361190527677536|0.361190527677536|0.5|3.0|4.0|1.0|1.0|0.0|1.0|35.0|0.5949554443359375|0.5316922068595886|0.671875|1.0|0.723437488079071|0.0
Flanger Warm:0.976190447807312|0.4768235981464386|0.6880202889442444|1.0|0.5|0.5|0.19732442498207092|1.0|0.49987494945526123|0.0|0.3730158805847168|0.9921875|0.0|0.0|0.261904776096344|0.361190527677536|0.0|6.0|4.0|0.0|1.0|1.0|1.0|4.0|0.7490065097808838|0.46830782294273376|0.0|0.0|0.5|0.375
Phaser Feedback:1.0|0.5546875596046448|0.6880202889442444|0.8809523582458496|0.5|0.5|0.19732442498207092|1.0|0.49987494945526123|0.0|0.6746031641960144|0.6075279116630554|0.0|0.5703125|0.361190527677536|0.361190527677536|0.0|5.0|4.0|1.0|1.0|1.0|0.0|8.0|0.5616763234138489|0.46830782294273376|0.0|0.0|0.500781238079071|0.0
Phaser Follower:1.0|0.4768235981464386|0.6880202889442444|1.0|0.5|0.9140625|0.4296875|1.0|0.49987494945526123|0.0|0.0793650820851326|0.6075279116630554|0.046875|0.7109375|0.361190527677536|0.0|0.0|0.0|12.0|1.0|1.0|1.0|0.0|9.0|0.7071067690849304|0.46830782294273376|0.0|0.0|0.15937499701976776|0.20000000298023224
Phaser Guitar:0.6062992215156555|0.4765625|0.6880202889442444|0.787401556968689|0.5|0.5|0.19732442498207092|1.0|0.49987494945526123|0.0|0.3937007784843445|0.6075279116630554|0.0|0.2890625|0.361190527677536|0.361190527677536|0.0|5.0|4.0|1.0|1.0|1.0|0.0|13.0|0.658730149269104|0.46830782294273376|0.0|0.0|0.723437488079071|0.007936508394777775
Phaser Particle Alliance:0.817460298538208|0.2734374701976776|0.6880202889442444|1.0|0.5|0.5|0.19732442498207092|1.0|0.49987494945526123|0.0|0.6349206566810608|0.6075279116630554|0.0|0.9453125|0.4365079402923584|0.361190527677536|0.0|5.0|4.0|0.0|1.0|1.0|0.0|10.0|0.6675516963005066|0.46830782294273376|0.0|0.0|1.0|0.5
