@params:Color|Const|Decay|Dry/Wet|Filter On|Filter Type|Frequency|Global Gain|I Gain|I Note|I Note Scale Degrees|I On|I Tune|II Gain|II On|II Pitch|II Pitch Scale Degrees|II Tune|III Gain|III On|III Pitch|III Pitch Scale Degrees|III Tune|IV Gain|IV On|IV Pitch|IV Pitch Scale Degrees|IV Tune|Mode|Use Current Scale|V Gain|V On|V Pitch|V Pitch Scale Degrees|V Tune|Width
Berlin:85.71428680419922|0.0|76.98412322998047|0.4920634925365448|0.0|1.0|0.0|5.238095283508301|0.8500000238418579|43.0|0.0|1.0|0.0|0.8500000238418579|1.0|7.0|0.0|-3.0|0.8500000238418579|1.0|7.0|0.0|7.0|0.8500000238418579|1.0|3.0|0.0|-8.0|1.0|0.0|0.8500000238418579|1.0|3.0|0.0|12.0|1.0
Brooklyn:100.0|0.0|100.0|1.0|1.0|3.0|0.5354329943656921|-10.0|0.8500000238418579|50.0|0.0|1.0|0.0|0.8500000238418579|1.0|12.0|0.0|-3.0|0.8500000238418579|1.0|7.0|0.0|7.0|0.8500000238418579|1.0|3.0|0.0|-8.0|0.0|0.0|0.8500000238418579|1.0|3.0|0.0|12.0|1.0
LosAngeles:86.5079345703125|1.0|62.69841384887695|1.0|1.0|3.0|0.3492063581943512|2.6190476417541504|0.9999999403953552|48.0|0.0|1.0|0.0|0.9999999403953552|1.0|3.0|0.0|-5.0|0.9999999403953552|1.0|3.0|0.0|3.0|0.9999999403953552|1.0|7.0|0.0|-5.0|1.0|0.0|0.9999999403953552|1.0|7.0|0.0|5.0|1.0
Moscow:100.0|1.0|50.79365158081055|1.0|0.0|2.0|0.6507936716079712|2.142857074737549|0.8500000238418579|26.0|0.0|1.0|0.0|0.9999999403953552|1.0|0.0|0.0|-4.0|0.9365079402923584|1.0|0.0|0.0|4.0|0.9920634627342224|1.0|0.0|0.0|-9.0|1.0|0.0|0.9999999403953552|1.0|0.0|0.0|9.0|1.0
Munich:100.0|1.0|50.79365158081055|1.0|0.0|2.0|0.6507936716079712|2.142857074737549|0.8500000238418579|24.0|0.0|1.0|0.0|0.9999999403953552|1.0|0.0|0.0|-4.0|0.9365079402923584|1.0|0.0|0.0|4.0|0.9920634627342224|1.0|0.0|0.0|-9.0|0.0|0.0|0.9999999403953552|1.0|0.0|0.0|9.0|1.0
Paris:69.84127044677734|0.0|50.79365158081055|1.0|1.0|1.0|0.3333333432674408|12.380952835083008|0.8500000238418579|50.0|0.0|1.0|22.0|0.8500000238418579|1.0|2.0|0.0|-8.0|0.8500000238418579|1.0|2.0|0.0|7.0|0.8500000238418579|1.0|5.0|0.0|-6.0|1.0|0.0|0.8500000238418579|1.0|5.0|0.0|2.0|1.0
Prague:88.88888549804688|0.0|75.3968276977539|0.5714285969734192|1.0|2.0|0.6507936716079712|4.761904716491699|0.8500000238418579|37.0|0.0|1.0|0.0|0.7777777910232544|1.0|-24.0|0.0|-16.0|0.9999999403953552|1.0|-21.0|0.0|20.0|0.7857142686843872|1.0|-18.0|0.0|-2.0|0.0|0.0|0.9999999403953552|1.0|-14.0|0.0|25.0|0.5634920597076416
Rome:69.84127044677734|0.0|50.79365158081055|1.0|1.0|1.0|0.3333333432674408|12.380952835083008|0.8500000238418579|51.0|0.0|1.0|22.0|0.8500000238418579|1.0|3.0|0.0|-8.0|0.8500000238418579|1.0|3.0|0.0|7.0|0.8500000238418579|1.0|7.0|0.0|-6.0|1.0|0.0|0.8500000238418579|1.0|7.0|0.0|2.0|1.0
Tokyo:72.22222137451172|0.0|66.66666412353516|0.6111111044883728|1.0|3.0|0.261904776096344|1.9047619104385376|0.9999999403953552|77.0|0.0|1.0|0.0|0.9999999403953552|1.0|-24.0|0.0|2.0|0.9999999403953552|1.0|-24.0|0.0|-5.0|0.9999999403953552|1.0|-24.0|0.0|-11.0|1.0|0.0|0.9999999403953552|1.0|-24.0|0.0|-45.0|1.0
Valhalla:93.14960479736328|1.0|74.40946197509766|0.566929280757904|1.0|1.0|0.3464566469192505|5.905510425567627|0.8500000238418579|34.0|0.0|1.0|0.0|0.8109375238418579|1.0|12.0|0.0|50.0|0.8500000238418579|1.0|-7.0|0.0|50.0|0.8500000238418579|0.0|0.0|0.0|0.0|1.0|0.0|0.8500000238418579|1.0|3.0|0.0|29.0|1.0
Vienna:97.61904907226562|1.0|74.6031723022461|1.0|1.0|3.0|0.5873016119003296|2.6190476417541504|0.9999999403953552|43.0|0.0|1.0|0.0|0.9999999403953552|1.0|2.0|0.0|-5.0|0.9999999403953552|1.0|2.0|0.0|3.0|0.9999999403953552|1.0|8.0|0.0|-5.0|1.0|0.0|0.9999999403953552|1.0|8.0|0.0|5.0|1.0
