@params:Chorus Amount|Chorus On|Chorus Rate|Cut On|Decay Time|Density|Diffuse Level|Diffusion|Dry/Wet|ER Shape|ER Spin Amount|ER Spin On|ER Spin Rate|Flat On|Freeze On|HiFilter Freq|HiFilter On|HiFilter Type|HiShelf Gain|In Filter Freq|In Filter Width|In HighCut On|In LowCut On|LowShelf Freq|LowShelf Gain|LowShelf On|Predelay|Reflect Level|Room Size|Scale|Size Smoothing|Stereo Image
Ambience Medium:0.27768680453300476|1.0|0.790123462677002|0.0|0.5079365372657776|1.0|0.4761904776096344|1.0|1.0|0.0|0.6595744490623474|1.0|0.7283951044082642|0.0|0.0|0.626086950302124|1.0|0.0|0.5531915426254272|0.0|0.7659574151039124|0.0|0.0|0.530434787273407|0.21276594698429108|1.0|0.5555555820465088|1.0|0.2698412835597992|1.0|2.0|0.7301587462425232
Ambience:0.002506265649572015|0.0|0.10369296371936798|1.0|0.1926112174987793|3.0|0.7034740447998047|0.6269841194152832|1.0|0.0|0.4166666865348816|0.0|0.2878788411617279|1.0|0.0|0.8775510191917419|1.0|0.0|0.6666666865348816|0.8181817531585693|0.5625|1.0|0.0|0.2271994799375534|0.6875|0.0|0.5472908020019531|0.6253118515014648|0.5830302238464355|1.0|2.0|0.8333333134651184
Arena Tail:0.07038673758506775|1.0|0.8484848737716675|1.0|0.578125|0.0|0.5396825671195984|0.6246089935302734|0.4000000059604645|0.3492063581943512|0.5833333134651184|1.0|0.43939393758773804|1.0|0.0|0.704081654548645|1.0|0.0|0.4791666567325592|0.5454545021057129|0.75|1.0|1.0|0.227199524641037|1.0|1.0|0.6796875596046448|0.6428571343421936|1.0|0.5317460298538208|2.0|0.9603174924850464
Backbone:0.4128599464893341|1.0|0.10975606739521027|1.0|0.3730158507823944|1.0|0.8253968358039856|0.7142857313156128|1.0|1.0|0.38235294818878174|1.0|0.26829269528388977|1.0|0.0|0.6495726704597473|1.0|0.0|0.5588235855102539|0.3536585569381714|0.7058823704719543|1.0|0.0|0.9658120274543762|0.9705882668495178|0.0|0.761904776096344|1.0|1.0|0.920634925365448|2.0|0.7142857313156128
Ballad Reverb:0.002506265649572015|0.0|0.10369296371936798|1.0|0.47478148341178894|3.0|0.49356332421302795|0.6246089935302734|1.0|0.6666666865348816|0.5833333134651184|1.0|0.40909090638160706|1.0|0.0|0.8046875|1.0|0.0|0.5859375|0.7272727489471436|0.3828125|1.0|0.0|0.2271994799375534|0.6875|0.0|0.6588259935379028|0.3449578881263733|0.7915151119232178|1.0|2.0|0.8333333134651184
Basement:1.0|1.0|0.5757575631141663|1.0|0.3888888657093048|3.0|0.7034740447998047|0.6246089935302734|1.0|1.0|0.8125|0.0|0.5606061220169067|1.0|0.0|0.6632652878761292|1.0|0.0|0.0|0.7575756907463074|0.5416666269302368|1.0|0.0|0.24489794671535492|0.0|1.0|0.22307033836841583|0.3449578881263733|0.4932406544685364|0.8947368264198303|2.0|0.8333333134651184
Big Room:0.002506265649572015|0.0|0.10369296371936798|1.0|0.2821703851222992|3.0|0.4920635521411896|0.7777777910232544|1.0|0.7460317611694336|0.7083333134651184|1.0|0.2575758099555969|1.0|0.0|0.7578125596046448|1.0|0.0|0.2500000298023224|0.7578124403953552|0.4166666567325592|1.0|0.0|0.2271994799375534|0.6875|0.0|0.5113844871520996|0.7034740447998047|0.3372792899608612|1.0|2.0|0.8333333134651184
Bright Long Verb:0.15164367854595184|1.0|0.45454543828964233|1.0|0.4920635521411896|3.0|0.6253118515014648|0.5724713802337646|1.0|0.6984127163887024|0.5833333134651184|1.0|0.40909090638160706|1.0|0.0|1.0|1.0|0.0|1.0|0.7272727489471436|0.4166666567325592|0.0|0.0|0.47959187626838684|0.2708333134651184|1.0|0.6587302088737488|0.49356332421302795|0.7489610314369202|1.0|2.0|0.8333333134651184
Bright Reflections:0.15164367854595184|1.0|0.45454543828964233|1.0|0.40369439125061035|3.0|0.7911734580993652|0.20750781893730164|1.0|0.6984127163887024|0.5833333134651184|1.0|0.40909090638160706|1.0|0.0|1.0|1.0|0.0|1.0|0.7272727489471436|0.4166666567325592|0.0|0.0|0.3265306353569031|0.0|1.0|0.6588259935379028|0.38891172409057617|0.8523988723754883|0.2631579041481018|2.0|0.8333333134651184
Bright Room:0.15164367854595184|0.0|0.45454543828964233|1.0|0.1606462597846985|3.0|0.6269841194152832|0.7288842797279358|1.0|0.7698412537574768|0.3749999701976776|1.0|0.1515151560306549|1.0|0.0|1.0|1.0|0.0|1.0|0.7272727489471436|0.4166666567325592|0.0|0.0|0.5408162474632263|0.2291666567325592|1.0|0.3705117404460907|1.0|0.1666666716337204|1.0|2.0|0.8333333134651184
