@params:Body Decay|Body High-Cut|Body Low-Cut|Body Mix|Body On/Off|Body Size|Body Type|D Damping|D Mass < Key|D Pos < Key|D Pos < Vel|D Pos Abs|D Stiff < Key|D Stiffness|D Velo < Key|D Velocity|Damp Pos|Damper Gated|Damper Mass|Damper On|E Pos|E Pos < Key|E Pos < Vel|E Pos Abs|Error|Exc Damping|Exc Mass|Exc Mass < Key|Exc Mass < Vel|Exc On/Off|Exc Stiff < Key|Exc Stiff < Vel|Exc Stiffness|Exc Vel < Key|Exc Vel < Vel|Exc Velocity|Exciter Type|FEG < Vel|FEG Att < Vel|FEG Attack|FEG Decay|FEG On/Off|FEG Release|FEG Sustain|Filter Freq|Filter On/Off|Filter Reso|Filter Type|Fine Tune|Freq < Env|Freq < Key|Freq < LFO|Key Priority|LFO Delay|LFO Fade In|LFO On/Off|LFO Shape|LFO Speed|LFO Sync On|LFO SyncRate|Note PB Range|Octave|PB Range|Pickup On/Off|Pickup Pos|Porta Legato|Porta On/Off|Porta Prop|Porta Time|Press Amt A|Press Amt B|Press Dest A|Press Dest B|Reso < Env|Reso < Key|Reso < LFO|S Damp < Key|S Decay < Key|S Decay Ratio|Semitone|Slide Amt A|Slide Amt B|Slide Dest A|Slide Dest B|Str Damping|Str Inharmon|Stretch|String Decay|T Mass < Key|T Mass < Vel|Term Fng Stiff|Term Fret Stiff|Term Mass|Term On/Off|Uni Delay|Uni Detune|Unison On/Off|Unison Voices|Vib < ModWh|Vib Amount|Vib Delay|Vib Error|Vib Fade-In|Vib Speed|Vibrato On/Off|Voices|Volume
12 Strings Chorus Guitar:0.5|0.2734375|0.5396825671195984|1.0|1.0|0.0|0.0|0.7857142686843872|0.0|0.0|0.0|0.0|0.0|0.0859375|0.0|0.2421875|0.2265625|0.0|0.359375|0.0|0.18110236525535583|0.0|0.0|0.0|0.0|0.4375|0.8809523582458496|-0.375|0.0|1.0|0.0|0.7777777910232544|0.28125|0.0|0.682539701461792|0.5434300899505615|1.0|0.0|0.0|0.3671875|0.3671875|0.0|0.3671875|1.0|1.0|0.0|0.0|1.0|0.5|0.0|0.0|0.0|2.0|0.0|0.0|1.0|0.0|0.6349206566810608|0.0|14.0|48.0|0.0|2.0|1.0|0.390625|0.0|0.0|1.0|0.453125|0.140625|0.1875|5.0|4.0|0.0|0.0|0.0|0.5158730149269104|-0.4765625|0.4140625|0.0|0.5|0.5|0.0|0.0|0.6984127163887024|0.0859375|0.8015872836112976|0.7086614370346069|0.0|0.0|0.6507936716079712|0.6507936716079712|0.6349206566810608|0.0|0.817460298538208|0.2890625|1.0|0.0|0.8015872836112976|0.0|0.296875|0.0|0.296875|0.5317460298538208|0.0|4.0|0.1825396865606308
Acoustic Synth Bass:0.4453125|0.25|0.25196850299835205|0.9682539701461792|1.0|0.0|0.0|0.3015872836112976|0.0|0.0|0.0|0.0|0.0|0.453125|0.0|0.4140625|0.25|1.0|0.523809552192688|1.0|0.841269850730896|0.0|0.0|0.0|0.0|0.9603174328804016|0.359375|0.0|0.5952380895614624|1.0|0.0|0.0|0.375|0.0|0.7301587462425232|0.09448818862438202|3.0|1.0|1.0|0.3671875|0.7539682388305664|1.0|0.3671875|1.0|1.0|0.0|0.0|1.0|0.171875|0.0|0.0|0.0|2.0|0.0|0.7063491940498352|1.0|0.0|1.0|0.0|14.0|48.0|0.0|2.0|0.0|0.453125|0.0|0.0|1.0|0.453125|0.5|0.5|0.0|0.0|0.0|0.0|0.0|0.0|-0.3984375|0.3984375|0.0|0.5|0.5|0.0|0.0|0.3515625|0.8095238208770752|0.8015872836112976|0.8110235929489136|0.0|0.8125|0.5873016119003296|0.8809523582458496|0.30158731341362|0.0|0.0|0.0|0.0|0.0|0.8015872836112976|0.0|0.296875|0.0|0.296875|0.609375|1.0|4.0|0.1796875
Ambient Drops Hold:0.523809552192688|0.3984375|0.8333333730697632|1.0|1.0|1.0|0.0|0.7460317611694336|0.5873016119003296|0.0|0.0|0.0|0.0|0.6269841194152832|0.0|0.3359375|0.1328125|1.0|1.0|0.0|0.10236220806837082|0.0|0.0|0.0|0.0|0.9920635223388672|0.6984127163887024|0.5634920597076416|0.4609375|1.0|0.0|0.579365074634552|0.3515625|0.0|0.6269841194152832|0.5|2.0|0.0|0.0|0.3671875|0.3671875|1.0|0.3671875|1.0|0.8503937125205994|1.0|0.75|0.0|0.5|0.0|0.0|0.0|2.0|0.0|0.0|1.0|0.0|0.6349206566810608|0.0|14.0|48.0|0.0|2.0|1.0|0.5|0.0|0.0|1.0|0.453125|0.5|0.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3515625|0.0|0.5|0.5|0.0|0.0|0.7936508059501648|0.0|0.7460317611694336|0.6299212574958801|0.0|0.0|0.6507936716079712|0.6507936716079712|0.6349206566810608|0.0|0.0|0.0|0.0|0.0|0.8015873432159424|0.0|0.0|0.0|0.0|0.5317460298538208|1.0|0.0|0.380952388048172
Attack Keys:0.0|0.0|0.0|0.5|0.0|2.0|0.0|0.4761904776096344|0.0|0.0|0.0|0.0|0.0|0.2777777910232544|0.0|0.4444444477558136|1.0|1.0|0.1349206417798996|0.0|0.5333715677261353|0.0|0.0|0.0|0.0|0.4285714328289032|0.579365074634552|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.1875|0.3888888955116272|1.0|0.0|0.0|0.0|0.5|0.0|0.5|0.5|0.7354207634925842|1.0|0.4758243262767792|0.0|0.5|0.0|0.109375|0.0|0.0|0.5|0.5|0.0|0.0|0.5|0.0|13.0|0.0|0.0|2.0|0.0|0.5|0.0|0.0|0.0|0.5|0.5|0.5|0.0|0.0|0.0|0.390625|0.0|0.0|0.359375|1.0|0.0|0.5|0.5|0.0|0.0|0.4999999701976776|0.5|0.5|1.0|0.0|0.0|0.5|0.5|0.5|0.0|0.5|0.5|0.0|0.0|0.5|0.5|0.5|0.5|0.5|0.5|0.0|4.0|0.658730149269104
Attack Pad:0.359375|0.0|0.0|0.5|1.0|1.0|3.0|0.015625|0.0|0.0|0.0|0.0|0.0|0.817460298538208|0.0|0.0|0.6507936716079712|0.0|0.0|0.0|0.0|-0.1640625|0.0|1.0|0.0|0.7936508059501648|0.4609375|-0.203125|0.0|1.0|0.0|0.03125|0.579365074634552|0.0|0.60317462682724|0.3019808232784271|0.0|0.0|0.1171875|0.2109375|0.0|1.0|0.8333333134651184|1.0|0.8976377844810486|1.0|0.5590550899505615|2.0|0.5|-0.7539682388305664|0.4921875|0.234375|2.0|0.0|0.0|1.0|4.0|0.6349206566810608|0.0|23.0|0.0|0.0|2.0|0.0|0.5079365372657776|0.0|0.0|1.0|0.453125|0.25|0.125|5.0|2.0|-0.1875|-0.046875|0.7460317611694336|0.4765625|0.1328125|0.4453125|0.0|0.5|0.5|0.0|0.0|1.0|0.296875|0.5|0.8582677245140076|0.0|0.6428571343421936|0.7460317611694336|0.5476190447807312|0.109375|0.0|0.0|0.0|0.0|0.0|0.8015872836112976|0.0|0.0|0.3515625|0.0|0.3203125|1.0|4.0|0.328125
Banjo:0.738095223903656|0.0|1.0|1.0|1.0|1.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.920634925365448|0.0|0.0|0.0|0.0|0.5714285969734192|0.0|0.0|0.0|0.0|0.0|0.0|0.21875|0.2890625|0.0|0.5952380895614624|1.0|0.0|0.0|0.5079365372657776|0.0|0.7301587462425232|0.46358269453048706|3.0|0.0|0.0|0.3671875|0.3671875|0.0|0.3671875|1.0|1.0|0.0|0.0|1.0|0.5|0.0|0.0|0.0|2.0|0.0|0.0|1.0|0.0|0.6349206566810608|0.0|14.0|48.0|0.0|2.0|1.0|0.2890625|0.0|0.0|1.0|0.453125|0.5|0.5|0.0|0.0|0.0|0.0|0.0|0.0|-0.3984375|0.3984375|0.0|0.5|0.5|0.0|0.0|0.9841269850730896|0.3359375|0.8253968358039856|0.4251968562602997|0.0|0.0|0.015625|0.9444444179534912|0.0|1.0|0.0|0.0|0.0|0.0|0.8015872836112976|0.0|0.0|0.0|0.0|0.5317460298538208|1.0|4.0|1.0
Bright Wah Bass:0.0|0.0|0.0|0.5|0.0|2.0|0.0|0.5|0.0|0.0|0.0|0.0|0.0|0.5|0.0|0.5|0.5|0.0|0.5|0.0|0.7301587462425232|0.0|0.0|1.0|0.0|0.5158730149269104|0.5396825671195984|-0.4375|0.0|1.0|-0.359375|0.0|1.0|-0.3125|0.71875|0.4682539701461792|3.0|1.0|1.0|0.21155835688114166|0.3448275923728943|1.0|0.8620689511299133|0.11234705150127411|0.4202898442745209|1.0|0.4495442807674408|0.0|0.5|0.609375|0.0625|0.5905511975288391|2.0|0.0|0.0|1.0|0.0|0.5|1.0|13.0|48.0|0.0|2.0|1.0|0.6328125|0.0|0.0|0.0|0.5|0.5|0.5|0.0|0.0|0.0|-0.140625|0.0|0.578125|0.265625|0.765625|0.0|0.21875|0.5|6.0|0.0|0.609375|0.5|0.5|0.7421875|0.0|0.0|0.5|0.5|0.5|0.0|0.5|0.5|0.0|0.0|0.5|0.5|0.5|0.5|0.5|0.5|0.0|1.0|0.230158731341362
Cat Gut Bass:0.341269850730896|0.8828125|0.875|0.3968254029750824|1.0|2.0|1.0|0.5|0.0|0.0|0.0|0.0|0.0|0.5|0.0|0.5|0.5|0.0|0.5|0.0|0.523809552192688|0.0|0.0|0.0|0.0|0.5390625|0.817460298538208|0.0|0.0|1.0|0.0|0.0|0.4841269850730896|0.0|0.71875|0.546875|3.0|0.0|0.78125|0.0|0.568965494632721|1.0|0.5|0.6290322542190552|0.0|1.0|0.0|1.0|0.609375|0.796875|0.0|0.0|0.0|0.5|0.5|0.0|0.0|0.5|0.0|13.0|48.0|-1.0|2.0|1.0|0.3203125|0.0|0.0|0.0|0.5|0.5|0.5|0.0|0.0|0.0|0.0|0.0|0.203125|0.0|0.3203125|0.0|0.28125|0.5|7.0|0.0|0.3359375|0.0|0.5|0.640625|0.0|-0.21875|0.523809552192688|0.2142857164144516|0.5079365372657776|1.0|0.3515625|0.359375|0.0|0.0|0.5|0.5|0.5|0.5|0.5|0.5|0.0|2.0|0.3174603283405304
Cello Strings:0.682539701461792|0.6746031641960144|0.0|1.0|1.0|2.0|0.0|0.015625|0.0|0.0|0.0|0.0|0.0|0.817460298538208|0.0|0.0|0.6507936716079712|0.0|0.0|0.0|0.32283464074134827|0.0|0.0|0.0|0.0|1.0|0.671875|0.0|0.0546875|1.0|-0.4857717752456665|0.0|0.5555555820465088|0.0|0.0|0.523809552192688|0.0|1.0|1.0|0.5158730149269104|0.6111111044883728|0.0|0.3671875|1.0|0.8976377844810486|1.0|0.0|1.0|0.5|0.7063491940498352|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.6349206566810608|0.0|14.0|48.0|0.0|1.0|0.0|0.2890625|1.0|0.0|1.0|0.453125|0.0|0.5|2.0|0.0|1.0|0.0|0.0|0.0|-0.3984375|0.25|0.0|0.5|0.5|0.0|0.0|0.5390625|0.109375|0.8015872836112976|0.550000011920929|0.0|0.0|0.3984375|0.8015872836112976|0.5|0.0|0.0|0.0|0.0|0.0|0.3203125|0.390625|0.29865318536758423|0.0|0.4960584044456482|0.5390625|1.0|4.0|0.5317460298538208
Chime Blues:0.2698412835597992|0.4047619104385376|0.4682539701461792|0.60317462682724|1.0|3.0|3.0|0.6269841194152832|0.0|0.0|0.0|0.0|0.0|0.8571428656578064|0.0|0.0|0.2698412835597992|1.0|0.3650793731212616|0.0|0.817460298538208|0.0|0.0|0.0|0.0|1.0|0.34375|0.0|0.59375|1.0|0.0|0.0|0.4920634925365448|0.0|0.6875|0.420634925365448|1.0|0.1875|0.0|0.13793103396892548|0.4921875|1.0|0.1031746044754982|0.0|0.23000000417232513|1.0|0.1090909093618393|7.0|0.421875|0.0|0.0|0.515625|2.0|0.5|0.7222222089767456|1.0|0.0|0.579365074634552|1.0|13.0|48.0|1.0|2.0|1.0|0.8661417365074158|0.0|0.0|1.0|0.453125|0.5|0.5|0.0|0.0|0.0|0.0|0.21875|0.0|-0.421875|0.0859375|0.0|0.5|0.5|0.0|0.0|0.4296875|1.0|0.8015872836112976|0.890625|0.0|0.8125|0.1428571492433548|0.8650793433189392|0.3828125|0.0|0.3984375|1.0|1.0|1.0|0.8015872836112976|0.125|0.0|0.0|0.0|0.5317460298538208|1.0|7.0|0.2460317462682724
